Heliumtest30
Sample30
GC / MS DATA FILE
11/11/2011 9:39:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC	TotalSignalRawFromIndex
SpectrumIndex 53 at 0.12 minutes; base peak 3.9 m/z with intensity 122912; TIC = 133410	0.12	122912	133410	133429
SpectrumIndex 54 at 0.12 minutes; base peak 3.9 m/z with intensity 122336; TIC = 134228	0.12	122336	134228	134247
SpectrumIndex 55 at 0.12 minutes; base peak 3.9 m/z with intensity 120104; TIC = 130267	0.12	120104	130267	130294
SpectrumIndex 56 at 0.12 minutes; base peak 3.9 m/z with intensity 119872; TIC = 130557	0.12	119872	130557	130584
SpectrumIndex 57 at 0.12 minutes; base peak 3.9 m/z with intensity 122304; TIC = 133491	0.12	122304	133491	133514
SpectrumIndex 58 at 0.12 minutes; base peak 3.9 m/z with intensity 118872; TIC = 129610	0.12	118872	129610	129634
SpectrumIndex 59 at 0.12 minutes; base peak 3.9 m/z with intensity 119488; TIC = 131217	0.12	119488	131217	131244
SpectrumIndex 60 at 0.12 minutes; base peak 3.9 m/z with intensity 118016; TIC = 129339	0.12	118016	129339	129358
SpectrumIndex 61 at 0.13 minutes; base peak 3.9 m/z with intensity 120240; TIC = 131492	0.13	120240	131492	131515
SpectrumIndex 62 at 0.13 minutes; base peak 3.9 m/z with intensity 119224; TIC = 129597	0.13	119224	129597	129615
SpectrumIndex 63 at 0.13 minutes; base peak 3.9 m/z with intensity 121240; TIC = 132325	0.13	121240	132325	132347
SpectrumIndex 64 at 0.13 minutes; base peak 3.9 m/z with intensity 124920; TIC = 136651	0.13	124920	136651	136669
SpectrumIndex 65 at 0.13 minutes; base peak 3.9 m/z with intensity 119064; TIC = 130713	0.13	119064	130713	130747
SpectrumIndex 66 at 0.13 minutes; base peak 3.9 m/z with intensity 125632; TIC = 136475	0.13	125632	136475	136504
SpectrumIndex 67 at 0.13 minutes; base peak 3.9 m/z with intensity 120720; TIC = 131309	0.13	120720	131309	131334
SpectrumIndex 68 at 0.13 minutes; base peak 3.9 m/z with intensity 121208; TIC = 132700	0.13	121208	132700	132723
SpectrumIndex 69 at 0.13 minutes; base peak 3.9 m/z with intensity 123504; TIC = 135573	0.13	123504	135573	135594
SpectrumIndex 70 at 0.13 minutes; base peak 3.9 m/z with intensity 125376; TIC = 136570	0.13	125376	136570	136601
SpectrumIndex 71 at 0.13 minutes; base peak 3.9 m/z with intensity 114912; TIC = 126005	0.13	114912	126005	126026
SpectrumIndex 72 at 0.13 minutes; base peak 3.9 m/z with intensity 118176; TIC = 128956	0.13	118176	128956	128985
SpectrumIndex 73 at 0.13 minutes; base peak 3.9 m/z with intensity 119328; TIC = 130638	0.13	119328	130638	130653
SpectrumIndex 74 at 0.13 minutes; base peak 3.9 m/z with intensity 124120; TIC = 134596	0.13	124120	134596	134619
SpectrumIndex 75 at 0.13 minutes; base peak 3.9 m/z with intensity 123176; TIC = 133728	0.13	123176	133728	133752
SpectrumIndex 76 at 0.13 minutes; base peak 3.9 m/z with intensity 115592; TIC = 126172	0.13	115592	126172	126192
SpectrumIndex 77 at 0.14 minutes; base peak 3.9 m/z with intensity 119240; TIC = 130200	0.14	119240	130200	130223
SpectrumIndex 78 at 0.14 minutes; base peak 3.9 m/z with intensity 120504; TIC = 131923	0.14	120504	131923	131946
SpectrumIndex 79 at 0.14 minutes; base peak 3.9 m/z with intensity 123184; TIC = 134836	0.14	123184	134836	134859
SpectrumIndex 80 at 0.14 minutes; base peak 3.9 m/z with intensity 122512; TIC = 134309	0.14	122512	134309	134326
SpectrumIndex 81 at 0.14 minutes; base peak 3.9 m/z with intensity 115416; TIC = 127339	0.14	115416	127339	127360
SpectrumIndex 82 at 0.14 minutes; base peak 3.9 m/z with intensity 121376; TIC = 131726	0.14	121376	131726	131750
SpectrumIndex 83 at 0.14 minutes; base peak 3.9 m/z with intensity 120920; TIC = 131810	0.14	120920	131810	131829
SpectrumIndex 84 at 0.14 minutes; base peak 3.9 m/z with intensity 120840; TIC = 132357	0.14	120840	132357	132379
SpectrumIndex 85 at 0.14 minutes; base peak 3.9 m/z with intensity 117744; TIC = 128341	0.14	117744	128341	128356
SpectrumIndex 86 at 0.14 minutes; base peak 3.9 m/z with intensity 117280; TIC = 128289	0.14	117280	128289	128313
SpectrumIndex 87 at 0.14 minutes; base peak 3.9 m/z with intensity 123104; TIC = 134623	0.14	123104	134623	134645
SpectrumIndex 88 at 0.14 minutes; base peak 3.9 m/z with intensity 127536; TIC = 139402	0.14	127536	139402	139426
SpectrumIndex 89 at 0.14 minutes; base peak 3.9 m/z with intensity 121568; TIC = 133001	0.14	121568	133001	133020
SpectrumIndex 90 at 0.14 minutes; base peak 3.9 m/z with intensity 121712; TIC = 133434	0.14	121712	133434	133457
SpectrumIndex 91 at 0.14 minutes; base peak 3.9 m/z with intensity 117864; TIC = 128594	0.14	117864	128594	128617
SpectrumIndex 92 at 0.14 minutes; base peak 3.9 m/z with intensity 119080; TIC = 129670	0.14	119080	129670	129696
SpectrumIndex 93 at 0.15 minutes; base peak 3.9 m/z with intensity 122888; TIC = 134541	0.15	122888	134541	134562
SpectrumIndex 94 at 0.15 minutes; base peak 3.9 m/z with intensity 121352; TIC = 133195	0.15	121352	133195	133221
SpectrumIndex 95 at 0.15 minutes; base peak 3.9 m/z with intensity 123760; TIC = 134982	0.15	123760	134982	135012
SpectrumIndex 96 at 0.15 minutes; base peak 3.9 m/z with intensity 116976; TIC = 127753	0.15	116976	127753	127777
SpectrumIndex 97 at 0.15 minutes; base peak 3.9 m/z with intensity 118832; TIC = 129307	0.15	118832	129307	129327
SpectrumIndex 98 at 0.15 minutes; base peak 3.9 m/z with intensity 122472; TIC = 133530	0.15	122472	133530	133547
SpectrumIndex 99 at 0.15 minutes; base peak 3.9 m/z with intensity 122952; TIC = 133846	0.15	122952	133846	133866
SpectrumIndex 100 at 0.15 minutes; base peak 3.9 m/z with intensity 121784; TIC = 133097	0.15	121784	133097	133114
SpectrumIndex 101 at 0.15 minutes; base peak 3.9 m/z with intensity 119848; TIC = 130755	0.15	119848	130755	130769
SpectrumIndex 102 at 0.15 minutes; base peak 3.9 m/z with intensity 121968; TIC = 133707	0.15	121968	133707	133733
SpectrumIndex 103 at 0.15 minutes; base peak 3.9 m/z with intensity 121272; TIC = 132800	0.15	121272	132800	132824
SpectrumIndex 104 at 0.15 minutes; base peak 3.9 m/z with intensity 120752; TIC = 130622	0.15	120752	130622	130645
SpectrumIndex 105 at 0.15 minutes; base peak 3.9 m/z with intensity 116632; TIC = 127230	0.15	116632	127230	127250
SpectrumIndex 106 at 0.15 minutes; base peak 3.9 m/z with intensity 119544; TIC = 130127	0.15	119544	130127	130143
SpectrumIndex 107 at 0.15 minutes; base peak 3.9 m/z with intensity 120208; TIC = 130819	0.15	120208	130819	130845
SpectrumIndex 108 at 0.15 minutes; base peak 3.9 m/z with intensity 121552; TIC = 134305	0.15	121552	134305	134328
SpectrumIndex 109 at 0.16 minutes; base peak 3.9 m/z with intensity 121704; TIC = 131971	0.16	121704	131971	131997
SpectrumIndex 110 at 0.16 minutes; base peak 3.9 m/z with intensity 118400; TIC = 130772	0.16	118400	130772	130797
SpectrumIndex 111 at 0.16 minutes; base peak 3.9 m/z with intensity 121208; TIC = 133375	0.16	121208	133375	133404
SpectrumIndex 112 at 0.16 minutes; base peak 3.9 m/z with intensity 125584; TIC = 136914	0.16	125584	136914	136939
SpectrumIndex 113 at 0.16 minutes; base peak 3.9 m/z with intensity 122072; TIC = 132616	0.16	122072	132616	132644
SpectrumIndex 114 at 0.16 minutes; base peak 3.9 m/z with intensity 123680; TIC = 134796	0.16	123680	134796	134817
SpectrumIndex 115 at 0.16 minutes; base peak 3.9 m/z with intensity 121192; TIC = 133086	0.16	121192	133086	133115
SpectrumIndex 116 at 0.16 minutes; base peak 3.9 m/z with intensity 121424; TIC = 132371	0.16	121424	132371	132393
SpectrumIndex 117 at 0.16 minutes; base peak 3.9 m/z with intensity 121320; TIC = 132274	0.16	121320	132274	132297
SpectrumIndex 118 at 0.16 minutes; base peak 3.9 m/z with intensity 120032; TIC = 130780	0.16	120032	130780	130806
SpectrumIndex 119 at 0.16 minutes; base peak 3.9 m/z with intensity 122056; TIC = 132782	0.16	122056	132782	132804
SpectrumIndex 120 at 0.16 minutes; base peak 3.9 m/z with intensity 119264; TIC = 130654	0.16	119264	130654	130674
SpectrumIndex 121 at 0.16 minutes; base peak 3.9 m/z with intensity 123240; TIC = 134055	0.16	123240	134055	134076
SpectrumIndex 122 at 0.16 minutes; base peak 3.9 m/z with intensity 120640; TIC = 131304	0.16	120640	131304	131333
SpectrumIndex 123 at 0.16 minutes; base peak 3.9 m/z with intensity 122952; TIC = 135478	0.16	122952	135478	135501
SpectrumIndex 124 at 0.16 minutes; base peak 3.9 m/z with intensity 121040; TIC = 132347	0.16	121040	132347	132372
SpectrumIndex 125 at 0.16 minutes; base peak 3.9 m/z with intensity 122744; TIC = 133307	0.16	122744	133307	133336
SpectrumIndex 126 at 0.17 minutes; base peak 3.9 m/z with intensity 121472; TIC = 131931	0.17	121472	131931	131960
SpectrumIndex 127 at 0.17 minutes; base peak 3.9 m/z with intensity 118264; TIC = 129530	0.17	118264	129530	129554
SpectrumIndex 128 at 0.17 minutes; base peak 3.9 m/z with intensity 122864; TIC = 133942	0.17	122864	133942	133966
SpectrumIndex 129 at 0.17 minutes; base peak 3.9 m/z with intensity 121704; TIC = 133968	0.17	121704	133968	133994
SpectrumIndex 130 at 0.17 minutes; base peak 3.9 m/z with intensity 120120; TIC = 131118	0.17	120120	131118	131140
SpectrumIndex 131 at 0.17 minutes; base peak 3.9 m/z with intensity 119304; TIC = 129918	0.17	119304	129918	129935
SpectrumIndex 132 at 0.17 minutes; base peak 3.9 m/z with intensity 120792; TIC = 132145	0.17	120792	132145	132163
SpectrumIndex 133 at 0.17 minutes; base peak 3.9 m/z with intensity 122568; TIC = 134683	0.17	122568	134683	134701
SpectrumIndex 134 at 0.17 minutes; base peak 3.9 m/z with intensity 119304; TIC = 129825	0.17	119304	129825	129847
SpectrumIndex 135 at 0.17 minutes; base peak 3.9 m/z with intensity 121440; TIC = 132523	0.17	121440	132523	132543
SpectrumIndex 136 at 0.17 minutes; base peak 3.9 m/z with intensity 122952; TIC = 133790	0.17	122952	133790	133817
SpectrumIndex 137 at 0.17 minutes; base peak 3.9 m/z with intensity 118704; TIC = 130021	0.17	118704	130021	130044
SpectrumIndex 138 at 0.17 minutes; base peak 3.9 m/z with intensity 124712; TIC = 136395	0.17	124712	136395	136421
SpectrumIndex 139 at 0.17 minutes; base peak 3.9 m/z with intensity 119632; TIC = 131396	0.17	119632	131396	131416
SpectrumIndex 140 at 0.17 minutes; base peak 3.9 m/z with intensity 119520; TIC = 131163	0.17	119520	131163	131185
SpectrumIndex 141 at 0.17 minutes; base peak 3.9 m/z with intensity 122048; TIC = 132833	0.17	122048	132833	132856
SpectrumIndex 142 at 0.18 minutes; base peak 3.9 m/z with intensity 122600; TIC = 133085	0.18	122600	133085	133109
SpectrumIndex 143 at 0.18 minutes; base peak 3.9 m/z with intensity 118192; TIC = 128792	0.18	118192	128792	128818
SpectrumIndex 144 at 0.18 minutes; base peak 3.9 m/z with intensity 117048; TIC = 127960	0.18	117048	127960	127983
SpectrumIndex 145 at 0.18 minutes; base peak 3.9 m/z with intensity 123984; TIC = 134846	0.18	123984	134846	134866
SpectrumIndex 146 at 0.18 minutes; base peak 3.9 m/z with intensity 124104; TIC = 134979	0.18	124104	134979	135001
SpectrumIndex 147 at 0.18 minutes; base peak 3.9 m/z with intensity 124112; TIC = 134587	0.18	124112	134587	134613
SpectrumIndex 148 at 0.18 minutes; base peak 3.9 m/z with intensity 118984; TIC = 130822	0.18	118984	130822	130847
SpectrumIndex 149 at 0.18 minutes; base peak 3.9 m/z with intensity 121384; TIC = 132060	0.18	121384	132060	132084
SpectrumIndex 150 at 0.18 minutes; base peak 3.9 m/z with intensity 121320; TIC = 132373	0.18	121320	132373	132396
SpectrumIndex 151 at 0.18 minutes; base peak 3.9 m/z with intensity 123040; TIC = 134965	0.18	123040	134965	134986
SpectrumIndex 152 at 0.18 minutes; base peak 3.9 m/z with intensity 121544; TIC = 132522	0.18	121544	132522	132550
SpectrumIndex 153 at 0.18 minutes; base peak 3.9 m/z with intensity 118728; TIC = 129842	0.18	118728	129842	129864
SpectrumIndex 154 at 0.18 minutes; base peak 3.9 m/z with intensity 123112; TIC = 134783	0.18	123112	134783	134805
SpectrumIndex 155 at 0.18 minutes; base peak 3.9 m/z with intensity 120976; TIC = 131085	0.18	120976	131085	131104
SpectrumIndex 156 at 0.18 minutes; base peak 3.9 m/z with intensity 119872; TIC = 130501	0.18	119872	130501	130529
SpectrumIndex 157 at 0.18 minutes; base peak 3.9 m/z with intensity 119784; TIC = 129798	0.18	119784	129798	129822
SpectrumIndex 158 at 0.19 minutes; base peak 3.9 m/z with intensity 120776; TIC = 132436	0.19	120776	132436	132462
SpectrumIndex 159 at 0.19 minutes; base peak 3.9 m/z with intensity 121744; TIC = 133218	0.19	121744	133218	133243
SpectrumIndex 160 at 0.19 minutes; base peak 3.9 m/z with intensity 120400; TIC = 131502	0.19	120400	131502	131524
SpectrumIndex 161 at 0.19 minutes; base peak 3.9 m/z with intensity 120272; TIC = 131206	0.19	120272	131206	131228
SpectrumIndex 162 at 0.19 minutes; base peak 3.9 m/z with intensity 119128; TIC = 130845	0.19	119128	130845	130873
SpectrumIndex 163 at 0.19 minutes; base peak 3.9 m/z with intensity 120728; TIC = 131825	0.19	120728	131825	131853
SpectrumIndex 164 at 0.19 minutes; base peak 3.9 m/z with intensity 119584; TIC = 130171	0.19	119584	130171	130190
SpectrumIndex 165 at 0.19 minutes; base peak 3.9 m/z with intensity 121840; TIC = 133226	0.19	121840	133226	133250
SpectrumIndex 166 at 0.19 minutes; base peak 3.9 m/z with intensity 119992; TIC = 131271	0.19	119992	131271	131293
SpectrumIndex 167 at 0.19 minutes; base peak 3.9 m/z with intensity 119656; TIC = 131401	0.19	119656	131401	131422
SpectrumIndex 168 at 0.19 minutes; base peak 3.9 m/z with intensity 122008; TIC = 132612	0.19	122008	132612	132630
SpectrumIndex 169 at 0.19 minutes; base peak 3.9 m/z with intensity 122872; TIC = 134320	0.19	122872	134320	134343
SpectrumIndex 170 at 0.19 minutes; base peak 3.9 m/z with intensity 122408; TIC = 134241	0.19	122408	134241	134270
SpectrumIndex 171 at 0.19 minutes; base peak 3.9 m/z with intensity 120280; TIC = 131804	0.19	120280	131804	131826
SpectrumIndex 172 at 0.19 minutes; base peak 3.9 m/z with intensity 119488; TIC = 129762	0.19	119488	129762	129783
SpectrumIndex 173 at 0.19 minutes; base peak 3.9 m/z with intensity 127840; TIC = 138969	0.19	127840	138969	138997
SpectrumIndex 174 at 0.19 minutes; base peak 3.9 m/z with intensity 123184; TIC = 134699	0.19	123184	134699	134728
SpectrumIndex 175 at 0.20 minutes; base peak 3.9 m/z with intensity 122872; TIC = 135432	0.20	122872	135432	135459
SpectrumIndex 176 at 0.20 minutes; base peak 3.9 m/z with intensity 121088; TIC = 131653	0.20	121088	131653	131673
SpectrumIndex 177 at 0.20 minutes; base peak 3.9 m/z with intensity 119272; TIC = 129951	0.20	119272	129951	129980
SpectrumIndex 178 at 0.20 minutes; base peak 3.9 m/z with intensity 121848; TIC = 133366	0.20	121848	133366	133391
SpectrumIndex 179 at 0.20 minutes; base peak 3.9 m/z with intensity 122856; TIC = 134837	0.20	122856	134837	134862
SpectrumIndex 180 at 0.20 minutes; base peak 3.9 m/z with intensity 122080; TIC = 132910	0.20	122080	132910	132934
SpectrumIndex 181 at 0.20 minutes; base peak 3.9 m/z with intensity 120048; TIC = 131801	0.20	120048	131801	131825
SpectrumIndex 182 at 0.20 minutes; base peak 3.9 m/z with intensity 120920; TIC = 132112	0.20	120920	132112	132133
SpectrumIndex 183 at 0.20 minutes; base peak 3.9 m/z with intensity 122800; TIC = 133362	0.20	122800	133362	133383
SpectrumIndex 184 at 0.20 minutes; base peak 3.9 m/z with intensity 116816; TIC = 127418	0.20	116816	127418	127436
SpectrumIndex 185 at 0.20 minutes; base peak 3.9 m/z with intensity 115592; TIC = 126417	0.20	115592	126417	126441
SpectrumIndex 186 at 0.20 minutes; base peak 3.9 m/z with intensity 121584; TIC = 133134	0.20	121584	133134	133154
SpectrumIndex 187 at 0.20 minutes; base peak 3.9 m/z with intensity 124856; TIC = 135548	0.20	124856	135548	135568
SpectrumIndex 188 at 0.20 minutes; base peak 3.9 m/z with intensity 122328; TIC = 133028	0.20	122328	133028	133051
SpectrumIndex 189 at 0.20 minutes; base peak 3.9 m/z with intensity 117008; TIC = 127765	0.20	117008	127765	127790
SpectrumIndex 190 at 0.20 minutes; base peak 3.9 m/z with intensity 119272; TIC = 131162	0.20	119272	131162	131183
SpectrumIndex 191 at 0.21 minutes; base peak 3.9 m/z with intensity 123608; TIC = 136002	0.21	123608	136002	136022
SpectrumIndex 192 at 0.21 minutes; base peak 3.9 m/z with intensity 122752; TIC = 135687	0.21	122752	135687	135710
SpectrumIndex 193 at 0.21 minutes; base peak 3.9 m/z with intensity 121640; TIC = 133101	0.21	121640	133101	133130
SpectrumIndex 194 at 0.21 minutes; base peak 3.9 m/z with intensity 123232; TIC = 134317	0.21	123232	134317	134338
SpectrumIndex 195 at 0.21 minutes; base peak 3.9 m/z with intensity 120424; TIC = 131881	0.21	120424	131881	131907
SpectrumIndex 196 at 0.21 minutes; base peak 3.9 m/z with intensity 123096; TIC = 134294	0.21	123096	134294	134312
SpectrumIndex 197 at 0.21 minutes; base peak 3.9 m/z with intensity 119256; TIC = 130266	0.21	119256	130266	130283
SpectrumIndex 198 at 0.21 minutes; base peak 3.9 m/z with intensity 119344; TIC = 131826	0.21	119344	131826	131852
SpectrumIndex 199 at 0.21 minutes; base peak 3.9 m/z with intensity 123568; TIC = 134075	0.21	123568	134075	134096
SpectrumIndex 200 at 0.21 minutes; base peak 3.9 m/z with intensity 119768; TIC = 130474	0.21	119768	130474	130494
SpectrumIndex 201 at 0.21 minutes; base peak 3.9 m/z with intensity 120728; TIC = 132670	0.21	120728	132670	132694
SpectrumIndex 202 at 0.21 minutes; base peak 3.9 m/z with intensity 118920; TIC = 129786	0.21	118920	129786	129809
SpectrumIndex 203 at 0.21 minutes; base peak 3.9 m/z with intensity 121328; TIC = 131982	0.21	121328	131982	132005
SpectrumIndex 204 at 0.21 minutes; base peak 3.9 m/z with intensity 119880; TIC = 130253	0.21	119880	130253	130280
SpectrumIndex 205 at 0.21 minutes; base peak 3.9 m/z with intensity 121224; TIC = 132275	0.21	121224	132275	132301
SpectrumIndex 206 at 0.21 minutes; base peak 3.9 m/z with intensity 123544; TIC = 135362	0.21	123544	135362	135382
SpectrumIndex 207 at 0.22 minutes; base peak 3.9 m/z with intensity 122024; TIC = 133358	0.22	122024	133358	133386
SpectrumIndex 208 at 0.22 minutes; base peak 3.9 m/z with intensity 121712; TIC = 134253	0.22	121712	134253	134277
SpectrumIndex 209 at 0.22 minutes; base peak 3.9 m/z with intensity 119312; TIC = 130955	0.22	119312	130955	130980
SpectrumIndex 210 at 0.22 minutes; base peak 3.9 m/z with intensity 120528; TIC = 131072	0.22	120528	131072	131096
SpectrumIndex 211 at 0.22 minutes; base peak 3.9 m/z with intensity 117448; TIC = 129104	0.22	117448	129104	129132
SpectrumIndex 212 at 0.22 minutes; base peak 3.9 m/z with intensity 120320; TIC = 132621	0.22	120320	132621	132645
SpectrumIndex 213 at 0.22 minutes; base peak 3.9 m/z with intensity 125520; TIC = 136779	0.22	125520	136779	136803
SpectrumIndex 214 at 0.22 minutes; base peak 3.9 m/z with intensity 121552; TIC = 132291	0.22	121552	132291	132313
SpectrumIndex 215 at 0.22 minutes; base peak 3.9 m/z with intensity 121736; TIC = 133366	0.22	121736	133366	133384
SpectrumIndex 216 at 0.22 minutes; base peak 3.9 m/z with intensity 120104; TIC = 131047	0.22	120104	131047	131067
SpectrumIndex 217 at 0.22 minutes; base peak 3.9 m/z with intensity 122584; TIC = 134321	0.22	122584	134321	134341
SpectrumIndex 218 at 0.22 minutes; base peak 3.9 m/z with intensity 123480; TIC = 134755	0.22	123480	134755	134782
SpectrumIndex 219 at 0.22 minutes; base peak 3.9 m/z with intensity 120080; TIC = 130809	0.22	120080	130809	130830
SpectrumIndex 220 at 0.22 minutes; base peak 3.9 m/z with intensity 119928; TIC = 130489	0.22	119928	130489	130506
SpectrumIndex 221 at 0.22 minutes; base peak 3.9 m/z with intensity 118968; TIC = 129957	0.22	118968	129957	129975
SpectrumIndex 222 at 0.22 minutes; base peak 3.9 m/z with intensity 123312; TIC = 134111	0.22	123312	134111	134139
SpectrumIndex 223 at 0.22 minutes; base peak 3.9 m/z with intensity 119184; TIC = 130918	0.22	119184	130918	130946
SpectrumIndex 224 at 0.23 minutes; base peak 3.9 m/z with intensity 124072; TIC = 134479	0.23	124072	134479	134502
SpectrumIndex 225 at 0.23 minutes; base peak 3.9 m/z with intensity 120168; TIC = 131223	0.23	120168	131223	131244
