Heliumtest30
Sample30
GC / MS DATA FILE
11/11/2011 9:39:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC	TotalSignalRawFromIndex
SpectrumIndex 0 at 0.09 minutes; base peak 3.9 m/z with intensity 119696; TIC = 129954	0.09	119696	129954	129977
SpectrumIndex 1 at 0.09 minutes; base peak 3.9 m/z with intensity 122952; TIC = 132420	0.09	122952	132420	132448
SpectrumIndex 2 at 0.09 minutes; base peak 3.9 m/z with intensity 118184; TIC = 128296	0.09	118184	128296	128319
SpectrumIndex 3 at 0.09 minutes; base peak 3.9 m/z with intensity 120576; TIC = 131114	0.09	120576	131114	131130
SpectrumIndex 4 at 0.09 minutes; base peak 3.9 m/z with intensity 118816; TIC = 130166	0.09	118816	130166	130187
SpectrumIndex 5 at 0.09 minutes; base peak 3.9 m/z with intensity 120608; TIC = 132381	0.09	120608	132381	132408
SpectrumIndex 6 at 0.09 minutes; base peak 3.9 m/z with intensity 119560; TIC = 131362	0.09	119560	131362	131384
SpectrumIndex 7 at 0.09 minutes; base peak 3.9 m/z with intensity 117376; TIC = 127777	0.09	117376	127777	127802
SpectrumIndex 8 at 0.09 minutes; base peak 3.9 m/z with intensity 120088; TIC = 131442	0.09	120088	131442	131466
SpectrumIndex 9 at 0.09 minutes; base peak 3.9 m/z with intensity 118808; TIC = 129993	0.09	118808	129993	130017
SpectrumIndex 10 at 0.09 minutes; base peak 3.9 m/z with intensity 122784; TIC = 134210	0.09	122784	134210	134231
SpectrumIndex 11 at 0.09 minutes; base peak 3.9 m/z with intensity 120568; TIC = 131133	0.09	120568	131133	131156
SpectrumIndex 12 at 0.10 minutes; base peak 3.9 m/z with intensity 119096; TIC = 130265	0.10	119096	130265	130292
SpectrumIndex 13 at 0.10 minutes; base peak 3.9 m/z with intensity 114760; TIC = 125716	0.10	114760	125716	125740
SpectrumIndex 14 at 0.10 minutes; base peak 3.9 m/z with intensity 116288; TIC = 127571	0.10	116288	127571	127602
SpectrumIndex 15 at 0.10 minutes; base peak 3.9 m/z with intensity 120536; TIC = 132259	0.10	120536	132259	132284
SpectrumIndex 16 at 0.10 minutes; base peak 3.9 m/z with intensity 121120; TIC = 131902	0.10	121120	131902	131930
SpectrumIndex 17 at 0.10 minutes; base peak 3.9 m/z with intensity 118896; TIC = 128951	0.10	118896	128951	128974
SpectrumIndex 18 at 0.10 minutes; base peak 3.9 m/z with intensity 122432; TIC = 133496	0.10	122432	133496	133519
SpectrumIndex 19 at 0.10 minutes; base peak 3.9 m/z with intensity 118896; TIC = 130923	0.10	118896	130923	130950
SpectrumIndex 20 at 0.10 minutes; base peak 3.9 m/z with intensity 116776; TIC = 128227	0.10	116776	128227	128249
SpectrumIndex 21 at 0.10 minutes; base peak 3.9 m/z with intensity 119056; TIC = 130388	0.10	119056	130388	130410
SpectrumIndex 22 at 0.10 minutes; base peak 3.9 m/z with intensity 118288; TIC = 129382	0.10	118288	129382	129403
SpectrumIndex 23 at 0.10 minutes; base peak 3.9 m/z with intensity 118944; TIC = 130478	0.10	118944	130478	130504
SpectrumIndex 24 at 0.10 minutes; base peak 3.9 m/z with intensity 120584; TIC = 132608	0.10	120584	132608	132633
SpectrumIndex 25 at 0.10 minutes; base peak 3.9 m/z with intensity 120208; TIC = 130910	0.10	120208	130910	130936
SpectrumIndex 26 at 0.10 minutes; base peak 3.9 m/z with intensity 119568; TIC = 130965	0.10	119568	130965	130981
SpectrumIndex 27 at 0.10 minutes; base peak 3.9 m/z with intensity 118632; TIC = 130006	0.10	118632	130006	130031
SpectrumIndex 28 at 0.11 minutes; base peak 3.9 m/z with intensity 121016; TIC = 132836	0.11	121016	132836	132855
SpectrumIndex 29 at 0.11 minutes; base peak 3.9 m/z with intensity 118928; TIC = 130353	0.11	118928	130353	130379
SpectrumIndex 30 at 0.11 minutes; base peak 3.9 m/z with intensity 123800; TIC = 134722	0.11	123800	134722	134743
SpectrumIndex 31 at 0.11 minutes; base peak 3.9 m/z with intensity 118952; TIC = 130828	0.11	118952	130828	130852
SpectrumIndex 32 at 0.11 minutes; base peak 3.9 m/z with intensity 117992; TIC = 128835	0.11	117992	128835	128858
SpectrumIndex 33 at 0.11 minutes; base peak 3.9 m/z with intensity 115040; TIC = 127059	0.11	115040	127059	127088
SpectrumIndex 34 at 0.11 minutes; base peak 3.9 m/z with intensity 123800; TIC = 134518	0.11	123800	134518	134540
SpectrumIndex 35 at 0.11 minutes; base peak 3.9 m/z with intensity 121224; TIC = 132017	0.11	121224	132017	132036
SpectrumIndex 36 at 0.11 minutes; base peak 3.9 m/z with intensity 121240; TIC = 133460	0.11	121240	133460	133484
SpectrumIndex 37 at 0.11 minutes; base peak 3.9 m/z with intensity 119016; TIC = 130201	0.11	119016	130201	130221
SpectrumIndex 38 at 0.11 minutes; base peak 3.9 m/z with intensity 118328; TIC = 128936	0.11	118328	128936	128960
SpectrumIndex 39 at 0.11 minutes; base peak 3.9 m/z with intensity 120544; TIC = 131281	0.11	120544	131281	131305
SpectrumIndex 40 at 0.11 minutes; base peak 3.9 m/z with intensity 124760; TIC = 136038	0.11	124760	136038	136062
SpectrumIndex 41 at 0.11 minutes; base peak 3.9 m/z with intensity 117968; TIC = 128784	0.11	117968	128784	128798
SpectrumIndex 42 at 0.11 minutes; base peak 3.9 m/z with intensity 119976; TIC = 129891	0.11	119976	129891	129912
SpectrumIndex 43 at 0.11 minutes; base peak 3.9 m/z with intensity 121608; TIC = 132545	0.11	121608	132545	132568
SpectrumIndex 44 at 0.12 minutes; base peak 3.9 m/z with intensity 120808; TIC = 132335	0.12	120808	132335	132361
SpectrumIndex 45 at 0.12 minutes; base peak 3.9 m/z with intensity 123728; TIC = 135035	0.12	123728	135035	135056
SpectrumIndex 46 at 0.12 minutes; base peak 3.9 m/z with intensity 117560; TIC = 128415	0.12	117560	128415	128441
SpectrumIndex 47 at 0.12 minutes; base peak 3.9 m/z with intensity 122944; TIC = 134672	0.12	122944	134672	134696
SpectrumIndex 48 at 0.12 minutes; base peak 3.9 m/z with intensity 119880; TIC = 131075	0.12	119880	131075	131096
SpectrumIndex 49 at 0.12 minutes; base peak 3.9 m/z with intensity 121984; TIC = 134042	0.12	121984	134042	134065
SpectrumIndex 50 at 0.12 minutes; base peak 3.9 m/z with intensity 120552; TIC = 132302	0.12	120552	132302	132324
SpectrumIndex 51 at 0.12 minutes; base peak 3.9 m/z with intensity 120384; TIC = 132411	0.12	120384	132411	132426
SpectrumIndex 52 at 0.12 minutes; base peak 3.9 m/z with intensity 114976; TIC = 126120	0.12	114976	126120	126144
