FSFA_Diffusion_Pre_nondev_010
Sample31
GC / MS DATA FILE
9/22/2011 9:04:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC
SpectrumIndex 104 at 6.39 minutes; base peak 960 m/z with intensity 1178; TIC = 6433	6.39	1178	6433
SpectrumIndex 105 at 6.39 minutes; base peak 959.8 m/z with intensity 898; TIC = 6073	6.39	898	6073
SpectrumIndex 106 at 6.40 minutes; base peak 952 m/z with intensity 1176; TIC = 7799	6.40	1176	7799
SpectrumIndex 107 at 6.40 minutes; base peak 961.3 m/z with intensity 1178; TIC = 6975	6.40	1178	6975
SpectrumIndex 108 at 6.40 minutes; base peak 962.05 m/z with intensity 898; TIC = 6897	6.40	898	6897
SpectrumIndex 109 at 6.41 minutes; base peak 958.7 m/z with intensity 898; TIC = 5539	6.41	898	5539
SpectrumIndex 110 at 6.41 minutes; base peak 956.95 m/z with intensity 1178; TIC = 6435	6.41	1178	6435
SpectrumIndex 111 at 6.41 minutes; base peak 956.2 m/z with intensity 896; TIC = 5539	6.41	896	5539
SpectrumIndex 112 at 6.41 minutes; base peak 956.8 m/z with intensity 898; TIC = 6079	6.41	898	6079
SpectrumIndex 113 at 6.42 minutes; base peak 957.6 m/z with intensity 896; TIC = 5537	6.42	896	5537
SpectrumIndex 114 at 6.42 minutes; base peak 961.55 m/z with intensity 1176; TIC = 7271	6.42	1176	7271
SpectrumIndex 115 at 6.42 minutes; base peak 957.3 m/z with intensity 898; TIC = 6375	6.42	898	6375
SpectrumIndex 116 at 6.43 minutes; base peak 950.75 m/z with intensity 900; TIC = 6357	6.43	900	6357
SpectrumIndex 117 at 6.43 minutes; base peak 957.7 m/z with intensity 898; TIC = 6077	6.43	898	6077
SpectrumIndex 118 at 6.43 minutes; base peak 955.9 m/z with intensity 1176; TIC = 7573	6.43	1176	7573
SpectrumIndex 119 at 6.43 minutes; base peak 957.9 m/z with intensity 896; TIC = 6901	6.43	896	6901
SpectrumIndex 120 at 6.44 minutes; base peak 952.35 m/z with intensity 1136; TIC = 6979	6.44	1136	6979
SpectrumIndex 121 at 6.44 minutes; base peak 957.2 m/z with intensity 1138; TIC = 6971	6.44	1138	6971
SpectrumIndex 122 at 6.44 minutes; base peak 955 m/z with intensity 1178; TIC = 8097	6.44	1178	8097
SpectrumIndex 123 at 6.45 minutes; base peak 952.75 m/z with intensity 1138; TIC = 7915	6.45	1138	7915
SpectrumIndex 124 at 6.45 minutes; base peak 958.2 m/z with intensity 1178; TIC = 7797	6.45	1178	7797
SpectrumIndex 125 at 6.45 minutes; base peak 960.6 m/z with intensity 898; TIC = 6357	6.45	898	6357
SpectrumIndex 126 at 6.45 minutes; base peak 948.7 m/z with intensity 1178; TIC = 8371	6.45	1178	8371
SpectrumIndex 127 at 6.46 minutes; base peak 958.35 m/z with intensity 900; TIC = 5539	6.46	900	5539
SpectrumIndex 128 at 6.46 minutes; base peak 951.9 m/z with intensity 896; TIC = 5537	6.46	896	5537
