FSFA_Diffusion_Pre_nondev_010
Sample31
GC / MS DATA FILE
9/22/2011 9:04:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC
SpectrumIndex 812 at 8.44 minutes; base peak 958.1 m/z with intensity 1496; TIC = 8729	8.44	1496	8729
SpectrumIndex 813 at 8.44 minutes; base peak 959.35 m/z with intensity 1498; TIC = 7895	8.44	1498	7895
SpectrumIndex 814 at 8.45 minutes; base peak 958.9 m/z with intensity 1498; TIC = 6437	8.45	1498	6437
SpectrumIndex 815 at 8.45 minutes; base peak 955.65 m/z with intensity 1478; TIC = 7893	8.45	1478	7893
SpectrumIndex 816 at 8.45 minutes; base peak 955.95 m/z with intensity 1414; TIC = 7537	8.45	1414	7537
SpectrumIndex 817 at 8.45 minutes; base peak 956.4 m/z with intensity 1098; TIC = 6435	8.45	1098	6435
SpectrumIndex 818 at 8.46 minutes; base peak 961 m/z with intensity 898; TIC = 7729	8.46	898	7729
SpectrumIndex 819 at 8.46 minutes; base peak 961.35 m/z with intensity 898; TIC = 5539	8.46	898	5539
SpectrumIndex 820 at 8.46 minutes; base peak 959.5 m/z with intensity 898; TIC = 5535	8.46	898	5535
SpectrumIndex 821 at 8.47 minutes; base peak 953.85 m/z with intensity 1458; TIC = 6435	8.47	1458	6435
SpectrumIndex 822 at 8.47 minutes; base peak 949.05 m/z with intensity 902; TIC = 5537	8.47	902	5537
SpectrumIndex 823 at 8.47 minutes; base peak 957.3 m/z with intensity 1376; TIC = 7351	8.47	1376	7351
SpectrumIndex 824 at 8.48 minutes; base peak 961.45 m/z with intensity 1096; TIC = 7271	8.48	1096	7271
SpectrumIndex 825 at 8.48 minutes; base peak 954.45 m/z with intensity 898; TIC = 6363	8.48	898	6363
SpectrumIndex 826 at 8.48 minutes; base peak 957.45 m/z with intensity 896; TIC = 6077	8.48	896	6077
SpectrumIndex 827 at 8.48 minutes; base peak 953.65 m/z with intensity 898; TIC = 5537	8.48	898	5537
SpectrumIndex 828 at 8.49 minutes; base peak 955 m/z with intensity 1158; TIC = 6443	8.49	1158	6443
SpectrumIndex 829 at 8.49 minutes; base peak 950.7 m/z with intensity 900; TIC = 5541	8.49	900	5541
SpectrumIndex 830 at 8.49 minutes; base peak 957.5 m/z with intensity 898; TIC = 6355	8.49	898	6355
SpectrumIndex 831 at 8.50 minutes; base peak 963.75 m/z with intensity 1176; TIC = 6437	8.50	1176	6437
SpectrumIndex 832 at 8.50 minutes; base peak 956.75 m/z with intensity 1098; TIC = 6433	8.50	1098	6433
SpectrumIndex 833 at 8.50 minutes; base peak 957.15 m/z with intensity 1176; TIC = 8579	8.50	1176	8579
SpectrumIndex 834 at 8.50 minutes; base peak 954.8 m/z with intensity 898; TIC = 6081	8.50	898	6081
SpectrumIndex 835 at 8.51 minutes; base peak 959.65 m/z with intensity 1140; TIC = 7537	8.51	1140	7537
SpectrumIndex 836 at 8.51 minutes; base peak 949.75 m/z with intensity 898; TIC = 6887	8.51	898	6887
SpectrumIndex 837 at 8.51 minutes; base peak 957.45 m/z with intensity 1138; TIC = 7795	8.51	1138	7795
SpectrumIndex 838 at 8.52 minutes; base peak 950.65 m/z with intensity 898; TIC = 6079	8.52	898	6079
SpectrumIndex 839 at 8.52 minutes; base peak 959.5 m/z with intensity 898; TIC = 5539	8.52	898	5539
SpectrumIndex 840 at 8.52 minutes; base peak 950.85 m/z with intensity 898; TIC = 7735	8.52	898	7735
SpectrumIndex 841 at 8.52 minutes; base peak 954.85 m/z with intensity 898; TIC = 6355	8.52	898	6355
SpectrumIndex 842 at 8.53 minutes; base peak 956.1 m/z with intensity 898; TIC = 6357	8.53	898	6357
SpectrumIndex 843 at 8.53 minutes; base peak 951.35 m/z with intensity 898; TIC = 5537	8.53	898	5537
SpectrumIndex 844 at 8.53 minutes; base peak 952.95 m/z with intensity 1098; TIC = 7793	8.53	1098	7793
SpectrumIndex 845 at 8.54 minutes; base peak 954.9 m/z with intensity 900; TIC = 7735	8.54	900	7735
SpectrumIndex 846 at 8.54 minutes; base peak 958.7 m/z with intensity 898; TIC = 6379	8.54	898	6379
SpectrumIndex 847 at 8.54 minutes; base peak 949.6 m/z with intensity 898; TIC = 6077	8.54	898	6077
SpectrumIndex 848 at 8.54 minutes; base peak 950.2 m/z with intensity 1376; TIC = 8573	8.54	1376	8573
SpectrumIndex 849 at 8.55 minutes; base peak 952.65 m/z with intensity 898; TIC = 5539	8.55	898	5539
SpectrumIndex 850 at 8.55 minutes; base peak 955.2 m/z with intensity 898; TIC = 6361	8.55	898	6361
SpectrumIndex 851 at 8.55 minutes; base peak 958.1 m/z with intensity 900; TIC = 6355	8.55	900	6355
SpectrumIndex 852 at 8.56 minutes; base peak 958.4 m/z with intensity 900; TIC = 6919	8.56	900	6919
SpectrumIndex 853 at 8.56 minutes; base peak 961.75 m/z with intensity 898; TIC = 6375	8.56	898	6375
SpectrumIndex 854 at 8.56 minutes; base peak 956.25 m/z with intensity 1160; TIC = 7795	8.56	1160	7795
SpectrumIndex 855 at 8.56 minutes; base peak 952.4 m/z with intensity 898; TIC = 6355	8.56	898	6355
SpectrumIndex 856 at 8.57 minutes; base peak 959.45 m/z with intensity 1156; TIC = 7535	8.57	1156	7535
SpectrumIndex 857 at 8.57 minutes; base peak 953.4 m/z with intensity 1158; TIC = 8031	8.57	1158	8031
SpectrumIndex 858 at 8.57 minutes; base peak 954.5 m/z with intensity 1098; TIC = 7275	8.57	1098	7275
SpectrumIndex 859 at 8.58 minutes; base peak 953.25 m/z with intensity 1156; TIC = 7533	8.58	1156	7533
SpectrumIndex 860 at 8.58 minutes; base peak 957.45 m/z with intensity 1158; TIC = 6439	8.58	1158	6439
SpectrumIndex 861 at 8.58 minutes; base peak 957.3 m/z with intensity 898; TIC = 5535	8.58	898	5535
SpectrumIndex 862 at 8.59 minutes; base peak 952 m/z with intensity 1156; TIC = 6437	8.59	1156	6437
SpectrumIndex 863 at 8.59 minutes; base peak 955.3 m/z with intensity 1160; TIC = 8349	8.59	1160	8349
SpectrumIndex 864 at 8.59 minutes; base peak 954.85 m/z with intensity 1158; TIC = 7257	8.59	1158	7257
SpectrumIndex 865 at 8.59 minutes; base peak 954 m/z with intensity 898; TIC = 5541	8.59	898	5541
SpectrumIndex 866 at 8.60 minutes; base peak 959.65 m/z with intensity 1160; TIC = 6437	8.60	1160	6437
SpectrumIndex 867 at 8.60 minutes; base peak 958.35 m/z with intensity 1456; TIC = 9563	8.60	1456	9563
SpectrumIndex 868 at 8.60 minutes; base peak 954.6 m/z with intensity 1156; TIC = 6957	8.60	1156	6957
SpectrumIndex 869 at 8.61 minutes; base peak 956.2 m/z with intensity 1158; TIC = 8889	8.61	1158	8889
SpectrumIndex 870 at 8.61 minutes; base peak 957.5 m/z with intensity 1138; TIC = 7261	8.61	1138	7261
SpectrumIndex 871 at 8.61 minutes; base peak 954.3 m/z with intensity 1156; TIC = 8633	8.61	1156	8633
SpectrumIndex 872 at 8.61 minutes; base peak 954.9 m/z with intensity 898; TIC = 6895	8.61	898	6895
SpectrumIndex 873 at 8.62 minutes; base peak 954.9 m/z with intensity 1158; TIC = 6433	8.62	1158	6433
SpectrumIndex 874 at 8.62 minutes; base peak 954.55 m/z with intensity 898; TIC = 6917	8.62	898	6917
SpectrumIndex 875 at 8.62 minutes; base peak 954.75 m/z with intensity 1156; TIC = 8077	8.62	1156	8077
SpectrumIndex 876 at 8.63 minutes; base peak 952.95 m/z with intensity 1156; TIC = 6437	8.63	1156	6437
SpectrumIndex 877 at 8.63 minutes; base peak 952.4 m/z with intensity 1160; TIC = 6977	8.63	1160	6977
SpectrumIndex 878 at 8.63 minutes; base peak 962 m/z with intensity 1138; TIC = 7213	8.63	1138	7213
SpectrumIndex 879 at 8.63 minutes; base peak 958.65 m/z with intensity 1158; TIC = 7273	8.63	1158	7273
SpectrumIndex 880 at 8.64 minutes; base peak 952.8 m/z with intensity 1158; TIC = 6435	8.64	1158	6435
SpectrumIndex 881 at 8.64 minutes; base peak 958.4 m/z with intensity 1160; TIC = 7277	8.64	1160	7277
SpectrumIndex 882 at 8.64 minutes; base peak 952.8 m/z with intensity 1158; TIC = 6433	8.64	1158	6433
SpectrumIndex 883 at 8.65 minutes; base peak 956.45 m/z with intensity 1160; TIC = 6973	8.65	1160	6973
SpectrumIndex 884 at 8.65 minutes; base peak 964.5 m/z with intensity 1160; TIC = 6439	8.65	1160	6439
SpectrumIndex 885 at 8.65 minutes; base peak 955.3 m/z with intensity 1160; TIC = 8893	8.65	1160	8893
SpectrumIndex 886 at 8.65 minutes; base peak 955 m/z with intensity 1138; TIC = 6975	8.65	1138	6975
SpectrumIndex 887 at 8.66 minutes; base peak 958.65 m/z with intensity 1456; TIC = 8133	8.66	1456	8133
SpectrumIndex 888 at 8.66 minutes; base peak 952.65 m/z with intensity 1138; TIC = 6979	8.66	1138	6979
SpectrumIndex 889 at 8.66 minutes; base peak 955.95 m/z with intensity 900; TIC = 6079	8.66	900	6079
SpectrumIndex 890 at 8.67 minutes; base peak 947.15 m/z with intensity 1142; TIC = 8915	8.67	1142	8915
SpectrumIndex 891 at 8.67 minutes; base peak 947.65 m/z with intensity 1140; TIC = 7219	8.67	1140	7219
SpectrumIndex 892 at 8.67 minutes; base peak 954.85 m/z with intensity 898; TIC = 5537	8.67	898	5537
SpectrumIndex 893 at 8.67 minutes; base peak 956.85 m/z with intensity 1158; TIC = 7577	8.67	1158	7577
SpectrumIndex 894 at 8.68 minutes; base peak 949.8 m/z with intensity 1158; TIC = 6979	8.68	1158	6979
SpectrumIndex 895 at 8.68 minutes; base peak 958.55 m/z with intensity 1900; TIC = 9553	8.68	1900	9553
SpectrumIndex 896 at 8.68 minutes; base peak 953.9 m/z with intensity 1898; TIC = 8933	8.68	1898	8933
SpectrumIndex 897 at 8.69 minutes; base peak 957.95 m/z with intensity 1140; TIC = 7791	8.69	1140	7791
SpectrumIndex 898 at 8.69 minutes; base peak 953.8 m/z with intensity 902; TIC = 5535	8.69	902	5535
SpectrumIndex 899 at 8.69 minutes; base peak 956.35 m/z with intensity 1142; TIC = 7801	8.69	1142	7801
SpectrumIndex 900 at 8.70 minutes; base peak 954.35 m/z with intensity 1158; TIC = 7575	8.70	1158	7575
SpectrumIndex 901 at 8.70 minutes; base peak 955.85 m/z with intensity 1138; TIC = 6977	8.70	1138	6977
SpectrumIndex 902 at 8.70 minutes; base peak 955.3 m/z with intensity 896; TIC = 6081	8.70	896	6081
SpectrumIndex 903 at 8.70 minutes; base peak 957.5 m/z with intensity 898; TIC = 6357	8.70	898	6357
SpectrumIndex 904 at 8.71 minutes; base peak 953.65 m/z with intensity 1136; TIC = 7795	8.71	1136	7795
SpectrumIndex 905 at 8.71 minutes; base peak 955.05 m/z with intensity 1138; TIC = 6975	8.71	1138	6975
SpectrumIndex 906 at 8.71 minutes; base peak 951.3 m/z with intensity 898; TIC = 6075	8.71	898	6075
SpectrumIndex 907 at 8.72 minutes; base peak 953.55 m/z with intensity 898; TIC = 7137	8.72	898	7137
SpectrumIndex 908 at 8.72 minutes; base peak 951.9 m/z with intensity 898; TIC = 6921	8.72	898	6921
SpectrumIndex 909 at 8.72 minutes; base peak 955.5 m/z with intensity 1158; TIC = 6983	8.72	1158	6983
SpectrumIndex 910 at 8.72 minutes; base peak 956.5 m/z with intensity 1136; TIC = 6431	8.72	1136	6431
SpectrumIndex 911 at 8.73 minutes; base peak 953.6 m/z with intensity 1138; TIC = 7801	8.73	1138	7801
SpectrumIndex 912 at 8.73 minutes; base peak 955.8 m/z with intensity 1700; TIC = 12295	8.73	1700	12295
SpectrumIndex 913 at 8.73 minutes; base peak 960.1 m/z with intensity 1420; TIC = 11645	8.73	1420	11645
SpectrumIndex 914 at 8.74 minutes; base peak 960.7 m/z with intensity 1698; TIC = 11191	8.74	1698	11191
SpectrumIndex 915 at 8.74 minutes; base peak 953.25 m/z with intensity 1700; TIC = 13453	8.74	1700	13453
SpectrumIndex 916 at 8.74 minutes; base peak 953 m/z with intensity 1698; TIC = 12865	8.74	1698	12865
SpectrumIndex 917 at 8.74 minutes; base peak 953.95 m/z with intensity 1700; TIC = 17197	8.74	1700	17197
SpectrumIndex 918 at 8.75 minutes; base peak 959.95 m/z with intensity 1978; TIC = 24637	8.75	1978	24637
SpectrumIndex 919 at 8.75 minutes; base peak 953.4 m/z with intensity 1978; TIC = 20525	8.75	1978	20525
SpectrumIndex 920 at 8.75 minutes; base peak 960.85 m/z with intensity 2260; TIC = 21603	8.75	2260	21603
SpectrumIndex 921 at 8.76 minutes; base peak 954.25 m/z with intensity 2258; TIC = 27821	8.76	2258	27821
SpectrumIndex 922 at 8.76 minutes; base peak 961.8 m/z with intensity 2258; TIC = 22981	8.76	2258	22981
SpectrumIndex 923 at 8.76 minutes; base peak 951.5 m/z with intensity 1978; TIC = 27831	8.76	1978	27831
SpectrumIndex 924 at 8.76 minutes; base peak 954.4 m/z with intensity 2258; TIC = 22199	8.76	2258	22199
SpectrumIndex 925 at 8.77 minutes; base peak 953.65 m/z with intensity 1696; TIC = 16833	8.77	1696	16833
SpectrumIndex 926 at 8.77 minutes; base peak 953.35 m/z with intensity 1698; TIC = 17421	8.77	1698	17421
SpectrumIndex 927 at 8.77 minutes; base peak 954.4 m/z with intensity 1700; TIC = 12871	8.77	1700	12871
SpectrumIndex 928 at 8.78 minutes; base peak 952.65 m/z with intensity 1420; TIC = 10035	8.78	1420	10035
SpectrumIndex 929 at 8.78 minutes; base peak 957.3 m/z with intensity 1420; TIC = 10635	8.78	1420	10635
SpectrumIndex 930 at 8.78 minutes; base peak 952.1 m/z with intensity 1158; TIC = 8955	8.78	1158	8955
SpectrumIndex 931 at 8.78 minutes; base peak 953.85 m/z with intensity 1420; TIC = 8931	8.78	1420	8931
SpectrumIndex 932 at 8.79 minutes; base peak 952.95 m/z with intensity 1136; TIC = 8591	8.79	1136	8591
SpectrumIndex 933 at 8.79 minutes; base peak 956.15 m/z with intensity 1420; TIC = 7579	8.79	1420	7579
SpectrumIndex 934 at 8.79 minutes; base peak 958.85 m/z with intensity 1158; TIC = 7279	8.79	1158	7279
SpectrumIndex 935 at 8.80 minutes; base peak 954.65 m/z with intensity 1178; TIC = 8121	8.80	1178	8121
SpectrumIndex 936 at 8.80 minutes; base peak 956.25 m/z with intensity 1138; TIC = 10525	8.80	1138	10525
SpectrumIndex 937 at 8.80 minutes; base peak 958.4 m/z with intensity 900; TIC = 5539	8.80	900	5539
SpectrumIndex 938 at 8.81 minutes; base peak 958 m/z with intensity 1140; TIC = 6437	8.81	1140	6437
SpectrumIndex 939 at 8.81 minutes; base peak 952.95 m/z with intensity 1162; TIC = 8095	8.81	1162	8095
SpectrumIndex 940 at 8.81 minutes; base peak 955 m/z with intensity 1158; TIC = 6977	8.81	1158	6977
SpectrumIndex 941 at 8.81 minutes; base peak 961.45 m/z with intensity 2298; TIC = 6443	8.81	2298	6443
SpectrumIndex 942 at 8.82 minutes; base peak 958.6 m/z with intensity 2296; TIC = 7535	8.82	2296	7535
SpectrumIndex 943 at 8.82 minutes; base peak 954.8 m/z with intensity 2298; TIC = 9533	8.82	2298	9533
SpectrumIndex 944 at 8.82 minutes; base peak 952.75 m/z with intensity 2298; TIC = 9527	8.82	2298	9527
SpectrumIndex 945 at 8.83 minutes; base peak 957.1 m/z with intensity 2298; TIC = 15603	8.83	2298	15603
SpectrumIndex 946 at 8.83 minutes; base peak 952.55 m/z with intensity 2298; TIC = 9259	8.83	2298	9259
SpectrumIndex 947 at 8.83 minutes; base peak 954.7 m/z with intensity 2298; TIC = 13243	8.83	2298	13243
SpectrumIndex 948 at 8.83 minutes; base peak 952.4 m/z with intensity 2296; TIC = 12349	8.83	2296	12349
SpectrumIndex 949 at 8.84 minutes; base peak 958.3 m/z with intensity 2300; TIC = 10993	8.84	2300	10993
SpectrumIndex 950 at 8.84 minutes; base peak 950.85 m/z with intensity 2298; TIC = 10679	8.84	2298	10679
SpectrumIndex 951 at 8.84 minutes; base peak 957.15 m/z with intensity 2296; TIC = 10071	8.84	2296	10071
SpectrumIndex 952 at 8.85 minutes; base peak 956.8 m/z with intensity 2296; TIC = 11891	8.85	2296	11891
SpectrumIndex 953 at 8.85 minutes; base peak 953.85 m/z with intensity 2298; TIC = 9853	8.85	2298	9853
SpectrumIndex 954 at 8.85 minutes; base peak 958.8 m/z with intensity 2298; TIC = 7535	8.85	2298	7535
SpectrumIndex 955 at 8.85 minutes; base peak 958.45 m/z with intensity 1096; TIC = 8087	8.85	1096	8087
SpectrumIndex 956 at 8.86 minutes; base peak 958.8 m/z with intensity 2298; TIC = 9545	8.86	2298	9545
SpectrumIndex 957 at 8.86 minutes; base peak 959.55 m/z with intensity 1098; TIC = 6973	8.86	1098	6973
SpectrumIndex 958 at 8.86 minutes; base peak 958.7 m/z with intensity 1156; TIC = 8115	8.86	1156	8115
SpectrumIndex 959 at 8.87 minutes; base peak 951.45 m/z with intensity 1098; TIC = 7267	8.87	1098	7267
SpectrumIndex 960 at 8.87 minutes; base peak 952.25 m/z with intensity 900; TIC = 6355	8.87	900	6355
SpectrumIndex 961 at 8.87 minutes; base peak 960.8 m/z with intensity 898; TIC = 5539	8.87	898	5539
SpectrumIndex 962 at 8.87 minutes; base peak 953.2 m/z with intensity 898; TIC = 6357	8.87	898	6357
SpectrumIndex 963 at 8.88 minutes; base peak 949.25 m/z with intensity 898; TIC = 6079	8.88	898	6079
SpectrumIndex 964 at 8.88 minutes; base peak 960.7 m/z with intensity 898; TIC = 7191	8.88	898	7191
SpectrumIndex 965 at 8.88 minutes; base peak 954.55 m/z with intensity 898; TIC = 6893	8.88	898	6893
SpectrumIndex 966 at 8.89 minutes; base peak 957.8 m/z with intensity 1136; TIC = 6979	8.89	1136	6979
SpectrumIndex 967 at 8.89 minutes; base peak 955.6 m/z with intensity 900; TIC = 6899	8.89	900	6899
SpectrumIndex 968 at 8.89 minutes; base peak 956.6 m/z with intensity 1140; TIC = 7275	8.89	1140	7275
SpectrumIndex 969 at 8.89 minutes; base peak 952.5 m/z with intensity 898; TIC = 7733	8.89	898	7733
SpectrumIndex 970 at 8.90 minutes; base peak 954.05 m/z with intensity 898; TIC = 5533	8.90	898	5533
SpectrumIndex 971 at 8.90 minutes; base peak 955.25 m/z with intensity 896; TIC = 6893	8.90	896	6893
SpectrumIndex 972 at 8.90 minutes; base peak 964.35 m/z with intensity 1180; TIC = 7255	8.90	1180	7255
SpectrumIndex 973 at 8.91 minutes; base peak 955.4 m/z with intensity 1140; TIC = 7795	8.91	1140	7795
SpectrumIndex 974 at 8.91 minutes; base peak 955.65 m/z with intensity 1098; TIC = 6435	8.91	1098	6435
SpectrumIndex 975 at 8.91 minutes; base peak 954.7 m/z with intensity 898; TIC = 5535	8.91	898	5535
SpectrumIndex 976 at 8.92 minutes; base peak 955.35 m/z with intensity 898; TIC = 6355	8.92	898	6355
SpectrumIndex 977 at 8.92 minutes; base peak 957.1 m/z with intensity 900; TIC = 6079	8.92	900	6079
SpectrumIndex 978 at 8.92 minutes; base peak 964.25 m/z with intensity 1098; TIC = 7257	8.92	1098	7257
SpectrumIndex 979 at 8.92 minutes; base peak 952.7 m/z with intensity 1100; TIC = 6435	8.92	1100	6435
SpectrumIndex 980 at 8.93 minutes; base peak 955.95 m/z with intensity 898; TIC = 6355	8.93	898	6355
SpectrumIndex 981 at 8.93 minutes; base peak 955.75 m/z with intensity 900; TIC = 6077	8.93	900	6077
SpectrumIndex 982 at 8.93 minutes; base peak 954.6 m/z with intensity 898; TIC = 5537	8.93	898	5537
SpectrumIndex 983 at 8.94 minutes; base peak 959.95 m/z with intensity 898; TIC = 6893	8.94	898	6893
SpectrumIndex 984 at 8.94 minutes; base peak 959.05 m/z with intensity 900; TIC = 6357	8.94	900	6357
SpectrumIndex 985 at 8.94 minutes; base peak 954.35 m/z with intensity 898; TIC = 5537	8.94	898	5537
SpectrumIndex 986 at 8.94 minutes; base peak 957.5 m/z with intensity 896; TIC = 6081	8.94	896	6081
SpectrumIndex 987 at 8.95 minutes; base peak 957.05 m/z with intensity 898; TIC = 5541	8.95	898	5541
SpectrumIndex 988 at 8.95 minutes; base peak 956.35 m/z with intensity 900; TIC = 6357	8.95	900	6357
SpectrumIndex 989 at 8.95 minutes; base peak 959.25 m/z with intensity 898; TIC = 6355	8.95	898	6355
SpectrumIndex 990 at 8.96 minutes; base peak 957.25 m/z with intensity 898; TIC = 6083	8.96	898	6083
SpectrumIndex 991 at 8.96 minutes; base peak 953.5 m/z with intensity 898; TIC = 6081	8.96	898	6081
SpectrumIndex 992 at 8.96 minutes; base peak 957.15 m/z with intensity 898; TIC = 5537	8.96	898	5537
SpectrumIndex 993 at 8.96 minutes; base peak 958.55 m/z with intensity 898; TIC = 5539	8.96	898	5539
SpectrumIndex 994 at 8.97 minutes; base peak 950.45 m/z with intensity 1142; TIC = 6977	8.97	1142	6977
SpectrumIndex 995 at 8.97 minutes; base peak 955.2 m/z with intensity 1138; TIC = 6431	8.97	1138	6431
SpectrumIndex 996 at 8.97 minutes; base peak 962 m/z with intensity 898; TIC = 5541	8.97	898	5541
SpectrumIndex 997 at 8.98 minutes; base peak 952 m/z with intensity 898; TIC = 6357	8.98	898	6357
SpectrumIndex 998 at 8.98 minutes; base peak 958.65 m/z with intensity 1138; TIC = 6437	8.98	1138	6437
SpectrumIndex 999 at 8.98 minutes; base peak 952.2 m/z with intensity 1096; TIC = 7277	8.98	1096	7277
SpectrumIndex 1000 at 8.98 minutes; base peak 956.2 m/z with intensity 898; TIC = 6351	8.98	898	6351
SpectrumIndex 1001 at 8.99 minutes; base peak 952.25 m/z with intensity 900; TIC = 6081	8.99	900	6081
SpectrumIndex 1002 at 8.99 minutes; base peak 954.55 m/z with intensity 1138; TIC = 8353	8.99	1138	8353
SpectrumIndex 1003 at 8.99 minutes; base peak 950.3 m/z with intensity 898; TIC = 6081	8.99	898	6081
SpectrumIndex 1004 at 9.00 minutes; base peak 960.25 m/z with intensity 896; TIC = 5539	9.00	896	5539
SpectrumIndex 1005 at 9.00 minutes; base peak 950.45 m/z with intensity 1138; TIC = 7751	9.00	1138	7751
SpectrumIndex 1006 at 9.00 minutes; base peak 954.8 m/z with intensity 1138; TIC = 7251	9.00	1138	7251
SpectrumIndex 1007 at 9.00 minutes; base peak 959.1 m/z with intensity 900; TIC = 6901	9.00	900	6901
SpectrumIndex 1008 at 9.01 minutes; base peak 954.9 m/z with intensity 898; TIC = 6355	9.01	898	6355
SpectrumIndex 1009 at 9.01 minutes; base peak 955.25 m/z with intensity 1136; TIC = 6431	9.01	1136	6431
SpectrumIndex 1010 at 9.01 minutes; base peak 952.85 m/z with intensity 1138; TIC = 6979	9.01	1138	6979
SpectrumIndex 1011 at 9.02 minutes; base peak 955.35 m/z with intensity 1140; TIC = 7533	9.02	1140	7533
SpectrumIndex 1012 at 9.02 minutes; base peak 955.25 m/z with intensity 1138; TIC = 7273	9.02	1138	7273
SpectrumIndex 1013 at 9.02 minutes; base peak 956.1 m/z with intensity 1136; TIC = 7257	9.02	1136	7257
SpectrumIndex 1014 at 9.03 minutes; base peak 953.05 m/z with intensity 1138; TIC = 6433	9.03	1138	6433
SpectrumIndex 1015 at 9.03 minutes; base peak 958.5 m/z with intensity 1138; TIC = 8079	9.03	1138	8079
SpectrumIndex 1016 at 9.03 minutes; base peak 961.65 m/z with intensity 1136; TIC = 8911	9.03	1136	8911
SpectrumIndex 1017 at 9.03 minutes; base peak 956.5 m/z with intensity 1458; TIC = 6977	9.03	1458	6977
SpectrumIndex 1018 at 9.04 minutes; base peak 955.65 m/z with intensity 1138; TIC = 7253	9.04	1138	7253
SpectrumIndex 1019 at 9.04 minutes; base peak 955.15 m/z with intensity 1140; TIC = 6981	9.04	1140	6981
SpectrumIndex 1020 at 9.04 minutes; base peak 955.15 m/z with intensity 1158; TIC = 8395	9.04	1158	8395
SpectrumIndex 1021 at 9.05 minutes; base peak 957.6 m/z with intensity 898; TIC = 6377	9.05	898	6377
SpectrumIndex 1022 at 9.05 minutes; base peak 955.1 m/z with intensity 898; TIC = 5535	9.05	898	5535
SpectrumIndex 1023 at 9.05 minutes; base peak 958.65 m/z with intensity 1138; TIC = 7533	9.05	1138	7533
SpectrumIndex 1024 at 9.05 minutes; base peak 957.8 m/z with intensity 898; TIC = 5537	9.05	898	5537
SpectrumIndex 1025 at 9.06 minutes; base peak 954.1 m/z with intensity 898; TIC = 6079	9.06	898	6079
SpectrumIndex 1026 at 9.06 minutes; base peak 958.75 m/z with intensity 898; TIC = 5539	9.06	898	5539
SpectrumIndex 1027 at 9.06 minutes; base peak 957.55 m/z with intensity 898; TIC = 5537	9.06	898	5537
SpectrumIndex 1028 at 9.07 minutes; base peak 953.85 m/z with intensity 1156; TIC = 6433	9.07	1156	6433
SpectrumIndex 1029 at 9.07 minutes; base peak 960 m/z with intensity 900; TIC = 5535	9.07	900	5535
SpectrumIndex 1030 at 9.07 minutes; base peak 962.5 m/z with intensity 898; TIC = 6371	9.07	898	6371
SpectrumIndex 1031 at 9.07 minutes; base peak 957.5 m/z with intensity 898; TIC = 5535	9.07	898	5535
SpectrumIndex 1032 at 9.08 minutes; base peak 963.4 m/z with intensity 1138; TIC = 6977	9.08	1138	6977
SpectrumIndex 1033 at 9.08 minutes; base peak 960.95 m/z with intensity 900; TIC = 6079	9.08	900	6079
SpectrumIndex 1034 at 9.08 minutes; base peak 957.5 m/z with intensity 1140; TIC = 6437	9.08	1140	6437
SpectrumIndex 1035 at 9.09 minutes; base peak 959.8 m/z with intensity 898; TIC = 5535	9.09	898	5535
SpectrumIndex 1036 at 9.09 minutes; base peak 958 m/z with intensity 898; TIC = 6351	9.09	898	6351
SpectrumIndex 1037 at 9.09 minutes; base peak 959.15 m/z with intensity 898; TIC = 6081	9.09	898	6081
SpectrumIndex 1038 at 9.09 minutes; base peak 958.95 m/z with intensity 898; TIC = 6361	9.09	898	6361
SpectrumIndex 1039 at 9.10 minutes; base peak 954.1 m/z with intensity 900; TIC = 6079	9.10	900	6079
SpectrumIndex 1040 at 9.10 minutes; base peak 960.75 m/z with intensity 898; TIC = 6077	9.10	898	6077
SpectrumIndex 1041 at 9.10 minutes; base peak 958.65 m/z with intensity 898; TIC = 6895	9.10	898	6895
SpectrumIndex 1042 at 9.11 minutes; base peak 953.75 m/z with intensity 1178; TIC = 7273	9.11	1178	7273
SpectrumIndex 1043 at 9.11 minutes; base peak 951.45 m/z with intensity 1138; TIC = 6437	9.11	1138	6437
SpectrumIndex 1044 at 9.11 minutes; base peak 953.65 m/z with intensity 900; TIC = 6317	9.11	900	6317
SpectrumIndex 1045 at 9.11 minutes; base peak 954.25 m/z with intensity 900; TIC = 5537	9.11	900	5537
SpectrumIndex 1046 at 9.12 minutes; base peak 951.05 m/z with intensity 900; TIC = 6077	9.12	900	6077
SpectrumIndex 1047 at 9.12 minutes; base peak 951.55 m/z with intensity 900; TIC = 6073	9.12	900	6073
SpectrumIndex 1048 at 9.12 minutes; base peak 953.8 m/z with intensity 898; TIC = 5539	9.12	898	5539
SpectrumIndex 1049 at 9.13 minutes; base peak 957.85 m/z with intensity 1138; TIC = 6433	9.13	1138	6433
SpectrumIndex 1050 at 9.13 minutes; base peak 954.85 m/z with intensity 900; TIC = 6919	9.13	900	6919
SpectrumIndex 1051 at 9.13 minutes; base peak 949.7 m/z with intensity 1158; TIC = 7273	9.13	1158	7273
SpectrumIndex 1052 at 9.14 minutes; base peak 956.4 m/z with intensity 898; TIC = 6353	9.14	898	6353
SpectrumIndex 1053 at 9.14 minutes; base peak 957.65 m/z with intensity 898; TIC = 6355	9.14	898	6355
