3hr_10cGy_10r
3hr tissue water frac
GC / MS DATA FILE
1/27/2011 10:25:00 PM

HZP
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC	TotalSignalRawFromIndex
SpectrumIndex 709 at 10.78 minutes; base peak 75 m/z with intensity 4869; TIC = 2763558	10.78	4869	2763558	141906
SpectrumIndex 710 at 10.78 minutes; base peak 75 m/z with intensity 2476544; TIC = 6126186	10.78	2476544	6126186	165929
SpectrumIndex 711 at 10.79 minutes; base peak 73 m/z with intensity 370112; TIC = 12054144	10.79	370112	12054144	313504
SpectrumIndex 712 at 10.80 minutes; base peak 73 m/z with intensity 70312; TIC = 13776173	10.80	70312	13776173	746900
SpectrumIndex 713 at 10.80 minutes; base peak 73 m/z with intensity 4708352; TIC = 31762118	10.80	4708352	31762118	1284865
SpectrumIndex 714 at 10.81 minutes; base peak 73.1 m/z with intensity 598720; TIC = 18299350	10.81	598720	18299350	1504557
SpectrumIndex 715 at 10.82 minutes; base peak 73 m/z with intensity 72288; TIC = 19926556	10.82	72288	19926556	1186150
SpectrumIndex 716 at 10.82 minutes; base peak 73 m/z with intensity 6961; TIC = 13218551	10.82	6961	13218551	584822
SpectrumIndex 717 at 10.83 minutes; base peak 73 m/z with intensity 320704; TIC = 8904620	10.83	320704	8904620	236591
SpectrumIndex 718 at 10.83 minutes; base peak 75 m/z with intensity 307008; TIC = 4248960	10.83	307008	4248960	144551
SpectrumIndex 719 at 10.84 minutes; base peak 75 m/z with intensity 305664; TIC = 3549331	10.84	305664	3549331	147114
SpectrumIndex 720 at 10.85 minutes; base peak 75 m/z with intensity 305088; TIC = 2929481	10.85	305088	2929481	202488
SpectrumIndex 721 at 10.85 minutes; base peak 73.1 m/z with intensity 39600; TIC = 10998823	10.85	39600	10998823	280822
SpectrumIndex 722 at 10.86 minutes; base peak 184 m/z with intensity 320448; TIC = 7161431	10.86	320448	7161431	300947
SpectrumIndex 723 at 10.87 minutes; base peak 184 m/z with intensity 2483712; TIC = 8699335	10.87	2483712	8699335	265169
SpectrumIndex 724 at 10.87 minutes; base peak 75 m/z with intensity 2462720; TIC = 8241022	10.87	2462720	8241022	204869
SpectrumIndex 725 at 10.88 minutes; base peak 75 m/z with intensity 2473984; TIC = 8306425	10.88	2473984	8306425	242003
SpectrumIndex 726 at 10.88 minutes; base peak 241.1 m/z with intensity 5387; TIC = 8408981	10.88	5387	8408981	375133
SpectrumIndex 727 at 10.89 minutes; base peak 241 m/z with intensity 3245056; TIC = 14625926	10.89	3245056	14625926	537917
SpectrumIndex 728 at 10.90 minutes; base peak 241.1 m/z with intensity 418560; TIC = 13622766	10.90	418560	13622766	539437
SpectrumIndex 729 at 10.90 minutes; base peak 241 m/z with intensity 2870272; TIC = 13285658	10.90	2870272	13285658	400319
SpectrumIndex 730 at 10.91 minutes; base peak 75 m/z with intensity 322048; TIC = 7069878	10.91	322048	7069878	320312
SpectrumIndex 731 at 10.92 minutes; base peak 245 m/z with intensity 5399; TIC = 5889896	10.92	5399	5889896	300878
SpectrumIndex 732 at 10.92 minutes; base peak 245 m/z with intensity 45696; TIC = 9052843	10.92	45696	9052843	302466
SpectrumIndex 733 at 10.93 minutes; base peak 245 m/z with intensity 43928; TIC = 6708056	10.93	43928	6708056	270245
SpectrumIndex 734 at 10.93 minutes; base peak 245 m/z with intensity 39504; TIC = 3072721	10.93	39504	3072721	205360
SpectrumIndex 735 at 10.94 minutes; base peak 75 m/z with intensity 2481664; TIC = 8079124	10.94	2481664	8079124	154306
SpectrumIndex 736 at 10.95 minutes; base peak 75 m/z with intensity 4882; TIC = 2927696	10.95	4882	2927696	142037
SpectrumIndex 737 at 10.95 minutes; base peak 75 m/z with intensity 37848; TIC = 3343280	10.95	37848	3343280	112667
SpectrumIndex 738 at 10.96 minutes; base peak 75 m/z with intensity 37848; TIC = 2287514	10.96	37848	2287514	109562
SpectrumIndex 739 at 10.97 minutes; base peak 75 m/z with intensity 37768; TIC = 2972130	10.97	37768	2972130	111823
SpectrumIndex 740 at 10.97 minutes; base peak 75 m/z with intensity 37568; TIC = 2770527	10.97	37568	2770527	108954
SpectrumIndex 741 at 10.98 minutes; base peak 75 m/z with intensity 37736; TIC = 2230256	10.98	37736	2230256	108627
SpectrumIndex 742 at 10.98 minutes; base peak 75 m/z with intensity 303616; TIC = 2234803	10.98	303616	2234803	113410
SpectrumIndex 743 at 10.99 minutes; base peak 75 m/z with intensity 303104; TIC = 2634787	10.99	303104	2634787	109854
SpectrumIndex 744 at 11.00 minutes; base peak 75 m/z with intensity 37688; TIC = 2797048	11.00	37688	2797048	111501
SpectrumIndex 745 at 11.00 minutes; base peak 75 m/z with intensity 304000; TIC = 3746854	11.00	304000	3746854	110412
SpectrumIndex 746 at 11.01 minutes; base peak 75 m/z with intensity 306240; TIC = 2159699	11.01	306240	2159699	118261
SpectrumIndex 747 at 11.02 minutes; base peak 75 m/z with intensity 305600; TIC = 3049653	11.02	305600	3049653	123029
SpectrumIndex 748 at 11.02 minutes; base peak 75 m/z with intensity 2462208; TIC = 6197448	11.02	2462208	6197448	132718
SpectrumIndex 749 at 11.03 minutes; base peak 75 m/z with intensity 304384; TIC = 5736050	11.03	304384	5736050	141683
SpectrumIndex 750 at 11.03 minutes; base peak 75 m/z with intensity 2485760; TIC = 5410813	11.03	2485760	5410813	155723
SpectrumIndex 751 at 11.04 minutes; base peak 75 m/z with intensity 2463232; TIC = 5135006	11.04	2463232	5135006	164262
SpectrumIndex 752 at 11.05 minutes; base peak 75 m/z with intensity 4877; TIC = 4181791	11.05	4877	4181791	183043
SpectrumIndex 753 at 11.05 minutes; base peak 75 m/z with intensity 4885; TIC = 4108037	11.05	4885	4108037	194525
SpectrumIndex 754 at 11.06 minutes; base peak 75 m/z with intensity 39872; TIC = 9913811	11.06	39872	9913811	226196
SpectrumIndex 755 at 11.07 minutes; base peak 73.1 m/z with intensity 5156; TIC = 8562046	11.07	5156	8562046	268210
SpectrumIndex 756 at 11.07 minutes; base peak 73.1 m/z with intensity 43744; TIC = 9119731	11.07	43744	9119731	330260
SpectrumIndex 757 at 11.08 minutes; base peak 73 m/z with intensity 372160; TIC = 8013956	11.08	372160	8013956	389773
SpectrumIndex 758 at 11.08 minutes; base peak 73 m/z with intensity 3132416; TIC = 14660948	11.08	3132416	14660948	464206
SpectrumIndex 759 at 11.09 minutes; base peak 204.1 m/z with intensity 3252736; TIC = 12042472	11.09	3252736	12042472	491727
SpectrumIndex 760 at 11.10 minutes; base peak 204.1 m/z with intensity 420864; TIC = 11173382	11.10	420864	11173382	525450
SpectrumIndex 761 at 11.10 minutes; base peak 204.1 m/z with intensity 6971; TIC = 9805505	11.10	6971	9805505	580294
SpectrumIndex 762 at 11.11 minutes; base peak 204.1 m/z with intensity 3777024; TIC = 20078979	11.11	3777024	20078979	646419
SpectrumIndex 763 at 11.12 minutes; base peak 204.1 m/z with intensity 3914752; TIC = 23115075	11.12	3914752	23115075	730975
SpectrumIndex 764 at 11.12 minutes; base peak 204.1 m/z with intensity 469376; TIC = 11955051	11.12	469376	11955051	671643
SpectrumIndex 765 at 11.13 minutes; base peak 204.1 m/z with intensity 454336; TIC = 10640943	11.13	454336	10640943	693686
SpectrumIndex 766 at 11.13 minutes; base peak 73 m/z with intensity 53856; TIC = 17542837	11.13	53856	17542837	619000
SpectrumIndex 767 at 11.14 minutes; base peak 204.1 m/z with intensity 454080; TIC = 14118974	11.14	454080	14118974	659279
SpectrumIndex 768 at 11.15 minutes; base peak 204.1 m/z with intensity 7206; TIC = 14942337	11.15	7206	14942337	645090
SpectrumIndex 769 at 11.15 minutes; base peak 204.1 m/z with intensity 484864; TIC = 17510972	11.15	484864	17510972	692882
SpectrumIndex 770 at 11.16 minutes; base peak 204.1 m/z with intensity 8737; TIC = 21739058	11.16	8737	21739058	825368
SpectrumIndex 771 at 11.17 minutes; base peak 204.1 m/z with intensity 567744; TIC = 18993578	11.17	567744	18993578	912124
SpectrumIndex 772 at 11.17 minutes; base peak 204.1 m/z with intensity 9000; TIC = 15950876	11.17	9000	15950876	1104896
SpectrumIndex 773 at 11.18 minutes; base peak 204.1 m/z with intensity 4833792; TIC = 27105524	11.18	4833792	27105524	1643941
SpectrumIndex 774 at 11.18 minutes; base peak 204.1 m/z with intensity 5346816; TIC = 47025631	11.18	5346816	47025631	2895150
SpectrumIndex 775 at 11.19 minutes; base peak 204.1 m/z with intensity 94840; TIC = 40527598	11.19	94840	40527598	4515209
SpectrumIndex 776 at 11.20 minutes; base peak 204.1 m/z with intensity 105016; TIC = 69865405	11.20	105016	69865405	7915446
SpectrumIndex 777 at 11.20 minutes; base peak 204.1 m/z with intensity 877056; TIC = 60262289	11.20	877056	60262289	12958371
SpectrumIndex 778 at 11.21 minutes; base peak 204.1 m/z with intensity 115592; TIC = 105111058	11.21	115592	105111058	19628812
SpectrumIndex 779 at 11.22 minutes; base peak 204.1 m/z with intensity 15145; TIC = 86771811	11.22	15145	86771811	26158072
SpectrumIndex 780 at 11.22 minutes; base peak 204.1 m/z with intensity 1008896; TIC = 107134278	11.22	1008896	107134278	32144412
SpectrumIndex 781 at 11.23 minutes; base peak 204.1 m/z with intensity 1043584; TIC = 122451903	11.23	1043584	122451903	38806184
SpectrumIndex 782 at 11.23 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 123704585	11.23	8388096	123704585	44668128
SpectrumIndex 783 at 11.24 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 121946448	11.24	8388096	121946448	49030888
SpectrumIndex 784 at 11.25 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 130274420	11.25	8388096	130274420	51993604
SpectrumIndex 785 at 11.25 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 173508852	11.25	8388096	173508852	54404784
SpectrumIndex 786 at 11.26 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 104880239	11.26	8388096	104880239	56723424
SpectrumIndex 787 at 11.27 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 134754890	11.27	8388096	134754890	58189408
SpectrumIndex 788 at 11.27 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 150147455	11.27	8388096	150147455	58932824
SpectrumIndex 789 at 11.28 minutes; base peak 204.2 m/z with intensity 8388096; TIC = 118214983	11.28	8388096	118214983	56811680
SpectrumIndex 790 at 11.28 minutes; base peak 204.1 m/z with intensity 7323136; TIC = 78947260	11.28	7323136	78947260	14559407
SpectrumIndex 791 at 11.29 minutes; base peak 204.1 m/z with intensity 3524096; TIC = 15688143	11.29	3524096	15688143	709177
SpectrumIndex 792 at 11.30 minutes; base peak 75 m/z with intensity 403264; TIC = 8344400	11.30	403264	8344400	367600
SpectrumIndex 793 at 11.30 minutes; base peak 75 m/z with intensity 49936; TIC = 8996508	11.30	49936	8996508	343508
SpectrumIndex 794 at 11.31 minutes; base peak 75 m/z with intensity 6165; TIC = 11246697	11.31	6165	11246697	335562
SpectrumIndex 795 at 11.32 minutes; base peak 75 m/z with intensity 387264; TIC = 7715558	11.32	387264	7715558	324862
SpectrumIndex 796 at 11.32 minutes; base peak 75 m/z with intensity 5931; TIC = 7272419	11.32	5931	7272419	321365
SpectrumIndex 797 at 11.33 minutes; base peak 75 m/z with intensity 2996736; TIC = 13573884	11.33	2996736	13573884	301418
SpectrumIndex 798 at 11.33 minutes; base peak 75 m/z with intensity 45568; TIC = 3937813	11.33	45568	3937813	265460
SpectrumIndex 799 at 11.34 minutes; base peak 75 m/z with intensity 2857984; TIC = 8496074	11.34	2857984	8496074	236869
SpectrumIndex 800 at 11.35 minutes; base peak 75 m/z with intensity 2853376; TIC = 8690641	11.35	2853376	8690641	234306
SpectrumIndex 801 at 11.35 minutes; base peak 75 m/z with intensity 2724864; TIC = 7036229	11.35	2724864	7036229	192997
SpectrumIndex 802 at 11.36 minutes; base peak 75 m/z with intensity 2733056; TIC = 8589467	11.36	2733056	8589467	190920
SpectrumIndex 803 at 11.37 minutes; base peak 75 m/z with intensity 339520; TIC = 4499816	11.37	339520	4499816	194286
SpectrumIndex 804 at 11.37 minutes; base peak 75 m/z with intensity 338688; TIC = 4884512	11.37	338688	4884512	195443
SpectrumIndex 805 at 11.38 minutes; base peak 75 m/z with intensity 2722816; TIC = 6381210	11.38	2722816	6381210	193314
SpectrumIndex 806 at 11.38 minutes; base peak 75 m/z with intensity 336768; TIC = 4096003	11.38	336768	4096003	189640
SpectrumIndex 807 at 11.39 minutes; base peak 75 m/z with intensity 41792; TIC = 7071322	11.39	41792	7071322	179980
SpectrumIndex 808 at 11.40 minutes; base peak 75 m/z with intensity 41544; TIC = 5038046	11.40	41544	5038046	169423
SpectrumIndex 809 at 11.40 minutes; base peak 75 m/z with intensity 41496; TIC = 4037688	11.40	41496	4037688	161931
SpectrumIndex 810 at 11.41 minutes; base peak 75 m/z with intensity 5122; TIC = 3802108	11.41	5122	3802108	156483
SpectrumIndex 811 at 11.42 minutes; base peak 75 m/z with intensity 2607616; TIC = 6226659	11.42	2607616	6226659	148436
SpectrumIndex 812 at 11.42 minutes; base peak 75 m/z with intensity 2610176; TIC = 9929910	11.42	2610176	9929910	155600
SpectrumIndex 813 at 11.43 minutes; base peak 75 m/z with intensity 2594816; TIC = 7373988	11.43	2594816	7373988	158718
SpectrumIndex 814 at 11.44 minutes; base peak 75 m/z with intensity 2605056; TIC = 9209214	11.44	2605056	9209214	168236
SpectrumIndex 815 at 11.44 minutes; base peak 75 m/z with intensity 5149; TIC = 5115711	11.44	5149	5115711	171853
SpectrumIndex 816 at 11.45 minutes; base peak 75 m/z with intensity 5140; TIC = 3242750	11.45	5140	3242750	158889
SpectrumIndex 817 at 11.45 minutes; base peak 75 m/z with intensity 5132; TIC = 3329573	11.45	5132	3329573	151167
SpectrumIndex 818 at 11.46 minutes; base peak 75 m/z with intensity 2620416; TIC = 6377555	11.46	2620416	6377555	142177
SpectrumIndex 819 at 11.47 minutes; base peak 75 m/z with intensity 2615296; TIC = 6794664	11.47	2615296	6794664	149919
SpectrumIndex 820 at 11.47 minutes; base peak 75 m/z with intensity 320640; TIC = 3462284	11.47	320640	3462284	137625
SpectrumIndex 821 at 11.48 minutes; base peak 75 m/z with intensity 321344; TIC = 4393279	11.48	321344	4393279	153260
SpectrumIndex 822 at 11.49 minutes; base peak 75 m/z with intensity 322880; TIC = 6517080	11.49	322880	6517080	178237
SpectrumIndex 823 at 11.49 minutes; base peak 75 m/z with intensity 2612224; TIC = 7071144	11.49	2612224	7071144	182905
SpectrumIndex 824 at 11.50 minutes; base peak 75 m/z with intensity 2610176; TIC = 9246131	11.50	2610176	9246131	192889
SpectrumIndex 825 at 11.50 minutes; base peak 75 m/z with intensity 322368; TIC = 5552939	11.50	322368	5552939	174862
SpectrumIndex 826 at 11.51 minutes; base peak 75 m/z with intensity 2599424; TIC = 6811068	11.51	2599424	6811068	157173
SpectrumIndex 827 at 11.52 minutes; base peak 75 m/z with intensity 322176; TIC = 2168458	11.52	322176	2168458	146177
SpectrumIndex 828 at 11.52 minutes; base peak 75 m/z with intensity 4902; TIC = 3356817	11.52	4902	3356817	120853
SpectrumIndex 829 at 11.53 minutes; base peak 75 m/z with intensity 4926; TIC = 2445527	11.53	4926	2445527	122558
SpectrumIndex 830 at 11.54 minutes; base peak 75 m/z with intensity 39480; TIC = 2363533	11.54	39480	2363533	124864
SpectrumIndex 831 at 11.54 minutes; base peak 75 m/z with intensity 39488; TIC = 4015518	11.54	39488	4015518	129790
SpectrumIndex 832 at 11.55 minutes; base peak 75 m/z with intensity 39808; TIC = 3052108	11.55	39808	3052108	142718
SpectrumIndex 833 at 11.55 minutes; base peak 75 m/z with intensity 39904; TIC = 5539875	11.55	39904	5539875	195608
SpectrumIndex 834 at 11.56 minutes; base peak 73 m/z with intensity 6427; TIC = 10865276	11.56	6427	10865276	421592
SpectrumIndex 835 at 11.57 minutes; base peak 73 m/z with intensity 72536; TIC = 24745115	11.57	72536	24745115	1132393
SpectrumIndex 836 at 11.57 minutes; base peak 73 m/z with intensity 5368320; TIC = 46679153	11.57	5368320	46679153	2940663
SpectrumIndex 837 at 11.58 minutes; base peak 73.1 m/z with intensity 12821; TIC = 43220295	11.58	12821	43220295	5680724
SpectrumIndex 838 at 11.59 minutes; base peak 73.1 m/z with intensity 13089; TIC = 68000844	11.59	13089	68000844	8966044
SpectrumIndex 839 at 11.59 minutes; base peak 73.1 m/z with intensity 13331; TIC = 58541478	11.59	13331	58541478	11804442
SpectrumIndex 840 at 11.60 minutes; base peak 73.1 m/z with intensity 6808576; TIC = 82647900	11.60	6808576	82647900	12081631
SpectrumIndex 841 at 11.60 minutes; base peak 73.1 m/z with intensity 102992; TIC = 66562085	11.60	102992	66562085	7476100
SpectrumIndex 842 at 11.61 minutes; base peak 73 m/z with intensity 76680; TIC = 35419892	11.61	76680	35419892	2482238
SpectrumIndex 843 at 11.62 minutes; base peak 73.1 m/z with intensity 3376128; TIC = 16444628	11.62	3376128	16444628	575627
SpectrumIndex 844 at 11.62 minutes; base peak 75 m/z with intensity 41960; TIC = 4911513	11.62	41960	4911513	243117
SpectrumIndex 845 at 11.63 minutes; base peak 75 m/z with intensity 2618880; TIC = 9206306	11.63	2618880	9206306	179234
SpectrumIndex 846 at 11.64 minutes; base peak 75 m/z with intensity 2591232; TIC = 6666701	11.64	2591232	6666701	160096
SpectrumIndex 847 at 11.64 minutes; base peak 75 m/z with intensity 322048; TIC = 2823680	11.64	322048	2823680	148157
SpectrumIndex 848 at 11.65 minutes; base peak 75 m/z with intensity 320192; TIC = 3672366	11.65	320192	3672366	150802
SpectrumIndex 849 at 11.65 minutes; base peak 75 m/z with intensity 319680; TIC = 3648089	11.65	319680	3648089	150083
SpectrumIndex 850 at 11.66 minutes; base peak 75 m/z with intensity 39544; TIC = 5062770	11.66	39544	5062770	143319
SpectrumIndex 851 at 11.67 minutes; base peak 75 m/z with intensity 39624; TIC = 4173307	11.67	39624	4173307	132252
SpectrumIndex 852 at 11.67 minutes; base peak 75 m/z with intensity 4904; TIC = 2827583	11.67	4904	2827583	121588
SpectrumIndex 853 at 11.68 minutes; base peak 75 m/z with intensity 4915; TIC = 2520506	11.68	4915	2520506	118640
SpectrumIndex 854 at 11.69 minutes; base peak 75 m/z with intensity 39728; TIC = 3017379	11.69	39728	3017379	126613
SpectrumIndex 855 at 11.69 minutes; base peak 75 m/z with intensity 4905; TIC = 3472404	11.69	4905	3472404	130058
SpectrumIndex 856 at 11.70 minutes; base peak 75 m/z with intensity 39456; TIC = 4309717	11.70	39456	4309717	141372
SpectrumIndex 857 at 11.70 minutes; base peak 75 m/z with intensity 39600; TIC = 2647909	11.70	39600	2647909	149232
SpectrumIndex 858 at 11.71 minutes; base peak 75 m/z with intensity 39808; TIC = 4313200	11.71	39808	4313200	152318
SpectrumIndex 859 at 11.72 minutes; base peak 75 m/z with intensity 39504; TIC = 4490255	11.72	39504	4490255	145957
SpectrumIndex 860 at 11.72 minutes; base peak 75 m/z with intensity 39664; TIC = 4608904	11.72	39664	4608904	139028
SpectrumIndex 861 at 11.73 minutes; base peak 75 m/z with intensity 39696; TIC = 4122989	11.73	39696	4122989	128016
SpectrumIndex 862 at 11.74 minutes; base peak 75 m/z with intensity 4875; TIC = 3603094	11.74	4875	3603094	120987
SpectrumIndex 863 at 11.74 minutes; base peak 75 m/z with intensity 4866; TIC = 5145386	11.74	4866	5145386	114868
SpectrumIndex 864 at 11.75 minutes; base peak 75 m/z with intensity 4898; TIC = 5495115	11.75	4898	5495115	133533
SpectrumIndex 865 at 11.75 minutes; base peak 75 m/z with intensity 4903; TIC = 4106290	11.75	4903	4106290	139089
SpectrumIndex 866 at 11.76 minutes; base peak 75 m/z with intensity 4878; TIC = 5503427	11.76	4878	5503427	149868
SpectrumIndex 867 at 11.77 minutes; base peak 75 m/z with intensity 2476032; TIC = 6011159	11.77	2476032	6011159	150540
SpectrumIndex 868 at 11.77 minutes; base peak 75 m/z with intensity 4875; TIC = 6529547	11.77	4875	6529547	161864
SpectrumIndex 869 at 11.78 minutes; base peak 75 m/z with intensity 39464; TIC = 5515527	11.78	39464	5515527	155321
SpectrumIndex 870 at 11.79 minutes; base peak 75 m/z with intensity 307008; TIC = 2673764	11.79	307008	2673764	117739
SpectrumIndex 871 at 11.79 minutes; base peak 75 m/z with intensity 2474496; TIC = 4835425	11.79	2474496	4835425	113169
SpectrumIndex 872 at 11.80 minutes; base peak 75 m/z with intensity 4880; TIC = 4047712	11.80	4880	4047712	121462
SpectrumIndex 873 at 11.80 minutes; base peak 75 m/z with intensity 4903; TIC = 4892888	11.80	4903	4892888	131163
SpectrumIndex 874 at 11.81 minutes; base peak 75 m/z with intensity 39464; TIC = 5002212	11.81	39464	5002212	142598
SpectrumIndex 875 at 11.82 minutes; base peak 75 m/z with intensity 39872; TIC = 2331401	11.82	39872	2331401	154202
SpectrumIndex 876 at 11.82 minutes; base peak 75 m/z with intensity 321408; TIC = 3140327	11.82	321408	3140327	157550
SpectrumIndex 877 at 11.83 minutes; base peak 75 m/z with intensity 39456; TIC = 5477295	11.83	39456	5477295	145030
SpectrumIndex 878 at 11.84 minutes; base peak 75 m/z with intensity 39480; TIC = 3844848	11.84	39480	3844848	136987
SpectrumIndex 879 at 11.84 minutes; base peak 75 m/z with intensity 4910; TIC = 2635474	11.84	4910	2635474	134599
SpectrumIndex 880 at 11.85 minutes; base peak 75 m/z with intensity 4896; TIC = 4604246	11.85	4896	4604246	131408
SpectrumIndex 881 at 11.85 minutes; base peak 75 m/z with intensity 2482688; TIC = 5535311	11.85	2482688	5535311	115569
SpectrumIndex 882 at 11.86 minutes; base peak 75 m/z with intensity 39584; TIC = 2453233	11.86	39584	2453233	126820
SpectrumIndex 883 at 11.87 minutes; base peak 75 m/z with intensity 4876; TIC = 2997460	11.87	4876	2997460	131913
SpectrumIndex 884 at 11.87 minutes; base peak 75 m/z with intensity 4875; TIC = 2810929	11.87	4875	2810929	142094
SpectrumIndex 885 at 11.88 minutes; base peak 75 m/z with intensity 2483712; TIC = 5408693	11.88	2483712	5408693	162577
SpectrumIndex 886 at 11.89 minutes; base peak 75 m/z with intensity 4871; TIC = 6487361	11.89	4871	6487361	183860
SpectrumIndex 887 at 11.89 minutes; base peak 75 m/z with intensity 4901; TIC = 4095125	11.89	4901	4095125	219985
SpectrumIndex 888 at 11.90 minutes; base peak 75 m/z with intensity 4924; TIC = 9478004	11.90	4924	9478004	227706
SpectrumIndex 889 at 11.90 minutes; base peak 75 m/z with intensity 2482688; TIC = 5414882	11.90	2482688	5414882	181107
SpectrumIndex 890 at 11.91 minutes; base peak 75 m/z with intensity 2487808; TIC = 8545359	11.91	2487808	8545359	161791
SpectrumIndex 891 at 11.92 minutes; base peak 75 m/z with intensity 4869; TIC = 2946116	11.92	4869	2946116	134918
SpectrumIndex 892 at 11.92 minutes; base peak 75 m/z with intensity 306816; TIC = 3727336	11.92	306816	3727336	113805
SpectrumIndex 893 at 11.93 minutes; base peak 75 m/z with intensity 2481664; TIC = 4728290	11.93	2481664	4728290	115589
SpectrumIndex 894 at 11.94 minutes; base peak 75 m/z with intensity 306560; TIC = 3872333	11.94	306560	3872333	115696
SpectrumIndex 895 at 11.94 minutes; base peak 75 m/z with intensity 305152; TIC = 2566186	11.94	305152	2566186	117449
SpectrumIndex 896 at 11.95 minutes; base peak 75 m/z with intensity 305920; TIC = 3754295	11.95	305920	3754295	119508
SpectrumIndex 897 at 11.95 minutes; base peak 75 m/z with intensity 2463232; TIC = 4391114	11.95	2463232	4391114	131122
SpectrumIndex 898 at 11.96 minutes; base peak 75 m/z with intensity 2487296; TIC = 7155916	11.96	2487296	7155916	138508
SpectrumIndex 899 at 11.97 minutes; base peak 75 m/z with intensity 2487296; TIC = 5704229	11.97	2487296	5704229	137874
SpectrumIndex 900 at 11.97 minutes; base peak 75 m/z with intensity 4894; TIC = 2700425	11.97	4894	2700425	134983
SpectrumIndex 901 at 11.98 minutes; base peak 75 m/z with intensity 2474496; TIC = 7877517	11.98	2474496	7877517	134327
SpectrumIndex 902 at 11.99 minutes; base peak 75 m/z with intensity 2466816; TIC = 5406704	11.99	2466816	5406704	137647
SpectrumIndex 903 at 11.99 minutes; base peak 75 m/z with intensity 4887; TIC = 5890191	11.99	4887	5890191	145880
SpectrumIndex 904 at 12.00 minutes; base peak 75 m/z with intensity 4886; TIC = 3515043	12.00	4886	3515043	157732
SpectrumIndex 905 at 12.00 minutes; base peak 75 m/z with intensity 2473984; TIC = 4848599	12.00	2473984	4848599	162546
SpectrumIndex 906 at 12.01 minutes; base peak 75 m/z with intensity 2464256; TIC = 6710265	12.01	2464256	6710265	160880
SpectrumIndex 907 at 12.02 minutes; base peak 75 m/z with intensity 2463232; TIC = 7543080	12.02	2463232	7543080	161747
SpectrumIndex 908 at 12.02 minutes; base peak 75 m/z with intensity 306816; TIC = 4792006	12.02	306816	4792006	163033
SpectrumIndex 909 at 12.03 minutes; base peak 75 m/z with intensity 2481152; TIC = 7595857	12.03	2481152	7595857	167253
SpectrumIndex 910 at 12.04 minutes; base peak 75 m/z with intensity 2476544; TIC = 6588677	12.04	2476544	6588677	166943
SpectrumIndex 911 at 12.04 minutes; base peak 75 m/z with intensity 39432; TIC = 8204580	12.04	39432	8204580	202810
SpectrumIndex 912 at 12.05 minutes; base peak 73 m/z with intensity 5150; TIC = 5900010	12.05	5150	5900010	277292
SpectrumIndex 913 at 12.05 minutes; base peak 73 m/z with intensity 353664; TIC = 12962322	12.05	353664	12962322	357078
SpectrumIndex 914 at 12.06 minutes; base peak 73 m/z with intensity 46064; TIC = 13155646	12.06	46064	13155646	439175
SpectrumIndex 915 at 12.07 minutes; base peak 73 m/z with intensity 47648; TIC = 11510868	12.07	47648	11510868	501848
SpectrumIndex 916 at 12.07 minutes; base peak 73 m/z with intensity 47792; TIC = 10949124	12.07	47792	10949124	540285
SpectrumIndex 917 at 12.08 minutes; base peak 73.1 m/z with intensity 2988032; TIC = 12412286	12.08	2988032	12412286	533436
SpectrumIndex 918 at 12.09 minutes; base peak 244.1 m/z with intensity 5941; TIC = 12018661	12.09	5941	12018661	477855
SpectrumIndex 919 at 12.09 minutes; base peak 244.1 m/z with intensity 3119104; TIC = 11123930	12.09	3119104	11123930	385523
SpectrumIndex 920 at 12.10 minutes; base peak 244.1 m/z with intensity 2870272; TIC = 10018594	12.10	2870272	10018594	279426
SpectrumIndex 921 at 12.10 minutes; base peak 244.1 m/z with intensity 39704; TIC = 6407259	12.10	39704	6407259	205899
SpectrumIndex 922 at 12.11 minutes; base peak 75 m/z with intensity 305152; TIC = 6135731	12.11	305152	6135731	146354
SpectrumIndex 923 at 12.12 minutes; base peak 75 m/z with intensity 303744; TIC = 4222348	12.12	303744	4222348	119204
SpectrumIndex 924 at 12.12 minutes; base peak 75 m/z with intensity 303360; TIC = 2489009	12.12	303360	2489009	114541
SpectrumIndex 925 at 12.13 minutes; base peak 75 m/z with intensity 305600; TIC = 2976191	12.13	305600	2976191	124053
SpectrumIndex 926 at 12.14 minutes; base peak 75 m/z with intensity 306880; TIC = 2373386	12.14	306880	2373386	133721
SpectrumIndex 927 at 12.14 minutes; base peak 75 m/z with intensity 305344; TIC = 5436369	12.14	305344	5436369	138154
SpectrumIndex 928 at 12.15 minutes; base peak 75 m/z with intensity 37872; TIC = 2625441	12.15	37872	2625441	129465
SpectrumIndex 929 at 12.15 minutes; base peak 75 m/z with intensity 2457600; TIC = 4864967	12.15	2457600	4864967	129168
SpectrumIndex 930 at 12.16 minutes; base peak 75 m/z with intensity 37608; TIC = 3644212	12.16	37608	3644212	106881
SpectrumIndex 931 at 12.17 minutes; base peak 75 m/z with intensity 37608; TIC = 3546356	12.17	37608	3546356	102751
