3hr_10cGy_10r
3hr tissue water frac
GC / MS DATA FILE
1/27/2011 10:25:00 PM

HZP
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC	TotalSignalRawFromIndex
SpectrumIndex 50 at 6.66 minutes; base peak 153 m/z with intensity 5412; TIC = 9982246	6.66	5412	9982246	259948
SpectrumIndex 51 at 6.66 minutes; base peak 153 m/z with intensity 2722304; TIC = 11595964	6.66	2722304	11595964	263093
SpectrumIndex 52 at 6.67 minutes; base peak 75 m/z with intensity 336320; TIC = 4125848	6.67	336320	4125848	267380
SpectrumIndex 53 at 6.67 minutes; base peak 75 m/z with intensity 41568; TIC = 5886799	6.67	41568	5886799	256124
SpectrumIndex 54 at 6.68 minutes; base peak 75 m/z with intensity 41664; TIC = 9178326	6.68	41664	9178326	249291
SpectrumIndex 55 at 6.69 minutes; base peak 75 m/z with intensity 5131; TIC = 6224664	6.69	5131	6224664	228129
SpectrumIndex 56 at 6.69 minutes; base peak 75 m/z with intensity 5134; TIC = 4591844	6.69	5134	4591844	226873
SpectrumIndex 57 at 6.70 minutes; base peak 75 m/z with intensity 5127; TIC = 8676564	6.70	5127	8676564	230521
SpectrumIndex 58 at 6.71 minutes; base peak 75 m/z with intensity 2609152; TIC = 6578899	6.71	2609152	6578899	232301
SpectrumIndex 59 at 6.71 minutes; base peak 75 m/z with intensity 2596864; TIC = 7543013	6.71	2596864	7543013	221539
SpectrumIndex 60 at 6.72 minutes; base peak 75 m/z with intensity 322304; TIC = 4270749	6.72	322304	4270749	209485
SpectrumIndex 61 at 6.72 minutes; base peak 75 m/z with intensity 322944; TIC = 5062802	6.72	322944	5062802	208169
SpectrumIndex 62 at 6.73 minutes; base peak 75 m/z with intensity 39840; TIC = 5537561	6.73	39840	5537561	199155
SpectrumIndex 63 at 6.74 minutes; base peak 75 m/z with intensity 39720; TIC = 4453763	6.74	39720	4453763	198430
SpectrumIndex 64 at 6.74 minutes; base peak 75 m/z with intensity 321920; TIC = 5164576	6.74	321920	5164576	219522
SpectrumIndex 65 at 6.75 minutes; base peak 152 m/z with intensity 370496; TIC = 5181845	6.75	370496	5181845	287555
SpectrumIndex 66 at 6.76 minutes; base peak 152 m/z with intensity 3799040; TIC = 13961222	6.76	3799040	13961222	422984
SpectrumIndex 67 at 6.76 minutes; base peak 152 m/z with intensity 8711; TIC = 7072073	6.76	8711	7072073	516195
SpectrumIndex 68 at 6.77 minutes; base peak 152 m/z with intensity 55952; TIC = 10416277	6.77	55952	10416277	462265
SpectrumIndex 69 at 6.77 minutes; base peak 152 m/z with intensity 338560; TIC = 9674141	6.77	338560	9674141	324792
SpectrumIndex 70 at 6.78 minutes; base peak 75 m/z with intensity 39712; TIC = 5656280	6.78	39712	5656280	224589
SpectrumIndex 71 at 6.79 minutes; base peak 75 m/z with intensity 4881; TIC = 3734933	6.79	4881	3734933	189080
SpectrumIndex 72 at 6.79 minutes; base peak 75 m/z with intensity 4916; TIC = 4819043	6.79	4916	4819043	185222
SpectrumIndex 73 at 6.80 minutes; base peak 75 m/z with intensity 4912; TIC = 5258319	6.80	4912	5258319	187182
SpectrumIndex 74 at 6.81 minutes; base peak 75 m/z with intensity 4883; TIC = 5646248	6.81	4883	5646248	204962
SpectrumIndex 75 at 6.81 minutes; base peak 75 m/z with intensity 4902; TIC = 5692607	6.81	4902	5692607	239753
SpectrumIndex 76 at 6.82 minutes; base peak 123 m/z with intensity 39888; TIC = 8606980	6.82	39888	8606980	275521
SpectrumIndex 77 at 6.82 minutes; base peak 75 m/z with intensity 39472; TIC = 10265006	6.82	39472	10265006	261235
SpectrumIndex 78 at 6.83 minutes; base peak 75 m/z with intensity 4920; TIC = 6625246	6.83	4920	6625246	215882
SpectrumIndex 79 at 6.84 minutes; base peak 75 m/z with intensity 4893; TIC = 3812314	6.84	4893	3812314	183250
SpectrumIndex 80 at 6.84 minutes; base peak 75 m/z with intensity 2480640; TIC = 8386051	6.84	2480640	8386051	167458
SpectrumIndex 81 at 6.85 minutes; base peak 75 m/z with intensity 2471424; TIC = 6638660	6.85	2471424	6638660	163235
SpectrumIndex 82 at 6.86 minutes; base peak 75 m/z with intensity 2483200; TIC = 5706899	6.86	2483200	5706899	163478
SpectrumIndex 83 at 6.86 minutes; base peak 75 m/z with intensity 2481664; TIC = 5662720	6.86	2481664	5662720	162470
SpectrumIndex 84 at 6.87 minutes; base peak 75 m/z with intensity 2478592; TIC = 6371899	6.87	2478592	6371899	158992
SpectrumIndex 85 at 6.87 minutes; base peak 75 m/z with intensity 2477568; TIC = 5748696	6.87	2477568	5748696	155083
SpectrumIndex 86 at 6.88 minutes; base peak 75 m/z with intensity 2462720; TIC = 5469986	6.88	2462720	5469986	152102
SpectrumIndex 87 at 6.89 minutes; base peak 75 m/z with intensity 2476544; TIC = 6768229	6.89	2476544	6768229	151782
SpectrumIndex 88 at 6.89 minutes; base peak 75 m/z with intensity 2469376; TIC = 6918597	6.89	2469376	6918597	151868
SpectrumIndex 89 at 6.90 minutes; base peak 75 m/z with intensity 2473984; TIC = 5666271	6.90	2473984	5666271	151941
SpectrumIndex 90 at 6.91 minutes; base peak 75 m/z with intensity 2477568; TIC = 8427178	6.91	2477568	8427178	151612
SpectrumIndex 91 at 6.91 minutes; base peak 75 m/z with intensity 2466816; TIC = 5443225	6.91	2466816	5443225	152645
SpectrumIndex 92 at 6.92 minutes; base peak 75 m/z with intensity 2465792; TIC = 8378059	6.92	2465792	8378059	153433
SpectrumIndex 93 at 6.92 minutes; base peak 75 m/z with intensity 2462720; TIC = 7644126	6.92	2462720	7644126	160766
SpectrumIndex 94 at 6.93 minutes; base peak 75 m/z with intensity 2474496; TIC = 5488351	6.93	2474496	5488351	172596
SpectrumIndex 95 at 6.94 minutes; base peak 75 m/z with intensity 2485248; TIC = 8704693	6.94	2485248	8704693	196804
SpectrumIndex 96 at 6.94 minutes; base peak 73.1 m/z with intensity 2600960; TIC = 8082387	6.94	2600960	8082387	229876
SpectrumIndex 97 at 6.95 minutes; base peak 73 m/z with intensity 43560; TIC = 4689316	6.95	43560	4689316	267580
SpectrumIndex 98 at 6.96 minutes; base peak 73.1 m/z with intensity 371328; TIC = 7427861	6.96	371328	7427861	308680
SpectrumIndex 99 at 6.96 minutes; base peak 73.1 m/z with intensity 419136; TIC = 8812890	6.96	419136	8812890	392550
SpectrumIndex 100 at 6.97 minutes; base peak 73.1 m/z with intensity 7942; TIC = 13195436	6.97	7942	13195436	580195
SpectrumIndex 101 at 6.97 minutes; base peak 73.1 m/z with intensity 567616; TIC = 19926322	6.97	567616	19926322	813706
SpectrumIndex 102 at 6.98 minutes; base peak 73.1 m/z with intensity 567360; TIC = 18034792	6.98	567360	18034792	908599
SpectrumIndex 103 at 6.99 minutes; base peak 73.1 m/z with intensity 62104; TIC = 12373215	6.99	62104	12373215	740918
SpectrumIndex 104 at 6.99 minutes; base peak 147.1 m/z with intensity 3118080; TIC = 9040570	6.99	3118080	9040570	453081
SpectrumIndex 105 at 7.00 minutes; base peak 73.1 m/z with intensity 39560; TIC = 4526136	7.00	39560	4526136	262187
SpectrumIndex 106 at 7.01 minutes; base peak 75 m/z with intensity 2478592; TIC = 5597487	7.01	2478592	5597487	178708
SpectrumIndex 107 at 7.01 minutes; base peak 75 m/z with intensity 306752; TIC = 3656222	7.01	306752	3656222	144819
SpectrumIndex 108 at 7.02 minutes; base peak 75 m/z with intensity 307008; TIC = 4087400	7.02	307008	4087400	132885
SpectrumIndex 109 at 7.03 minutes; base peak 75 m/z with intensity 2474496; TIC = 5699581	7.03	2474496	5699581	132912
SpectrumIndex 110 at 7.03 minutes; base peak 75 m/z with intensity 306432; TIC = 5220451	7.03	306432	5220451	143933
SpectrumIndex 111 at 7.04 minutes; base peak 75 m/z with intensity 4866; TIC = 6979350	7.04	4866	6979350	201560
SpectrumIndex 112 at 7.04 minutes; base peak 73.1 m/z with intensity 47976; TIC = 8538782	7.04	47976	8538782	389198
SpectrumIndex 113 at 7.05 minutes; base peak 147 m/z with intensity 8760; TIC = 17912753	7.05	8760	17912753	795631
SpectrumIndex 114 at 7.06 minutes; base peak 147.1 m/z with intensity 74736; TIC = 24718365	7.06	74736	24718365	1500410
SpectrumIndex 115 at 7.06 minutes; base peak 147 m/z with intensity 5212672; TIC = 27116701	7.06	5212672	27116701	2484288
SpectrumIndex 116 at 7.07 minutes; base peak 147.1 m/z with intensity 90640; TIC = 24423391	7.07	90640	24423391	3813196
SpectrumIndex 117 at 7.08 minutes; base peak 147.1 m/z with intensity 102944; TIC = 41137208	7.08	102944	41137208	5626079
SpectrumIndex 118 at 7.08 minutes; base peak 147.1 m/z with intensity 105448; TIC = 48116001	7.08	105448	48116001	8605170
SpectrumIndex 119 at 7.09 minutes; base peak 147.1 m/z with intensity 877632; TIC = 55736788	7.09	877632	55736788	13783039
SpectrumIndex 120 at 7.09 minutes; base peak 147.1 m/z with intensity 115472; TIC = 70255680	7.09	115472	70255680	20963620
SpectrumIndex 121 at 7.10 minutes; base peak 147.1 m/z with intensity 7730688; TIC = 62661730	7.10	7730688	62661730	27649336
SpectrumIndex 122 at 7.11 minutes; base peak 147.1 m/z with intensity 15619; TIC = 70710932	7.11	15619	70710932	33255454
SpectrumIndex 123 at 7.11 minutes; base peak 147.1 m/z with intensity 127928; TIC = 61680424	7.11	127928	61680424	37232068
SpectrumIndex 124 at 7.12 minutes; base peak 147.1 m/z with intensity 16176; TIC = 102577130	7.12	16176	102577130	39413252
SpectrumIndex 125 at 7.13 minutes; base peak 147.1 m/z with intensity 8357888; TIC = 80530826	7.13	8357888	80530826	41302612
SpectrumIndex 126 at 7.13 minutes; base peak 147.1 m/z with intensity 8388096; TIC = 94431156	7.13	8388096	94431156	43030740
SpectrumIndex 127 at 7.14 minutes; base peak 147.1 m/z with intensity 8388096; TIC = 84078755	7.14	8388096	84078755	44936540
SpectrumIndex 128 at 7.14 minutes; base peak 147.1 m/z with intensity 8388096; TIC = 113325968	7.14	8388096	113325968	46642420
SpectrumIndex 129 at 7.15 minutes; base peak 147.1 m/z with intensity 8388096; TIC = 104435412	7.15	8388096	104435412	46699884
SpectrumIndex 130 at 7.16 minutes; base peak 147.1 m/z with intensity 125592; TIC = 58122652	7.16	125592	58122652	31029952
SpectrumIndex 131 at 7.16 minutes; base peak 147.1 m/z with intensity 5623296; TIC = 29477109	7.16	5623296	29477109	2833931
SpectrumIndex 132 at 7.17 minutes; base peak 75 m/z with intensity 337216; TIC = 9435207	7.17	337216	9435207	269411
SpectrumIndex 133 at 7.18 minutes; base peak 75 m/z with intensity 5129; TIC = 3673108	7.18	5129	3673108	186967
SpectrumIndex 134 at 7.18 minutes; base peak 75 m/z with intensity 2615296; TIC = 7577129	7.18	2615296	7577129	175045
SpectrumIndex 135 at 7.19 minutes; base peak 75 m/z with intensity 2599936; TIC = 7023058	7.19	2599936	7023058	165712
SpectrumIndex 136 at 7.19 minutes; base peak 75 m/z with intensity 2595840; TIC = 7808567	7.19	2595840	7808567	167951
SpectrumIndex 137 at 7.20 minutes; base peak 75 m/z with intensity 5134; TIC = 5050267	7.20	5134	5050267	174522
SpectrumIndex 138 at 7.21 minutes; base peak 75 m/z with intensity 5142; TIC = 6636080	7.21	5142	6636080	174764
SpectrumIndex 139 at 7.21 minutes; base peak 75 m/z with intensity 2613760; TIC = 8153130	7.21	2613760	8153130	166365
SpectrumIndex 140 at 7.22 minutes; base peak 75 m/z with intensity 2594304; TIC = 6059828	7.22	2594304	6059828	159665
SpectrumIndex 141 at 7.23 minutes; base peak 75 m/z with intensity 321088; TIC = 2920546	7.23	321088	2920546	148580
SpectrumIndex 142 at 7.23 minutes; base peak 75 m/z with intensity 39592; TIC = 5007633	7.23	39592	5007633	138144
SpectrumIndex 143 at 7.24 minutes; base peak 75 m/z with intensity 39600; TIC = 3325496	7.24	39600	3325496	137862
SpectrumIndex 144 at 7.24 minutes; base peak 75 m/z with intensity 4922; TIC = 3182588	7.24	4922	3182588	133605
SpectrumIndex 145 at 7.25 minutes; base peak 75 m/z with intensity 4897; TIC = 3179768	7.25	4897	3179768	133289
SpectrumIndex 146 at 7.26 minutes; base peak 75 m/z with intensity 4893; TIC = 1848271	7.26	4893	1848271	134827
SpectrumIndex 147 at 7.26 minutes; base peak 75 m/z with intensity 4864; TIC = 3667938	7.26	4864	3667938	135350
SpectrumIndex 148 at 7.27 minutes; base peak 75 m/z with intensity 4899; TIC = 3341158	7.27	4899	3341158	145968
SpectrumIndex 149 at 7.28 minutes; base peak 75 m/z with intensity 2482176; TIC = 7768258	7.28	2482176	7768258	160703
SpectrumIndex 150 at 7.28 minutes; base peak 147.1 m/z with intensity 5130; TIC = 6536853	7.28	5130	6536853	227717
SpectrumIndex 151 at 7.29 minutes; base peak 147 m/z with intensity 6170; TIC = 9955935	7.29	6170	9955935	349331
SpectrumIndex 152 at 7.29 minutes; base peak 147 m/z with intensity 3647488; TIC = 13067580	7.29	3647488	13067580	451257
SpectrumIndex 153 at 7.30 minutes; base peak 147 m/z with intensity 6696; TIC = 10551130	7.30	6696	10551130	401415
SpectrumIndex 154 at 7.31 minutes; base peak 147 m/z with intensity 43616; TIC = 5279571	7.31	43616	5279571	261806
SpectrumIndex 155 at 7.31 minutes; base peak 75 m/z with intensity 4889; TIC = 2469548	7.31	4889	2469548	167636
SpectrumIndex 156 at 7.32 minutes; base peak 75 m/z with intensity 4873; TIC = 3119231	7.32	4873	3119231	140100
SpectrumIndex 157 at 7.33 minutes; base peak 75 m/z with intensity 2479104; TIC = 7009429	7.33	2479104	7009429	132988
SpectrumIndex 158 at 7.33 minutes; base peak 75 m/z with intensity 2471936; TIC = 5338273	7.33	2471936	5338273	126533
SpectrumIndex 159 at 7.34 minutes; base peak 75 m/z with intensity 2487296; TIC = 6030933	7.34	2487296	6030933	128190
SpectrumIndex 160 at 7.34 minutes; base peak 75 m/z with intensity 2461696; TIC = 5094618	7.34	2461696	5094618	125147
SpectrumIndex 161 at 7.35 minutes; base peak 75 m/z with intensity 2460672; TIC = 4803996	7.35	2460672	4803996	122379
SpectrumIndex 162 at 7.36 minutes; base peak 75 m/z with intensity 306112; TIC = 3379411	7.36	306112	3379411	119331
SpectrumIndex 163 at 7.36 minutes; base peak 75 m/z with intensity 2458624; TIC = 6986421	7.36	2458624	6986421	120066
SpectrumIndex 164 at 7.37 minutes; base peak 75 m/z with intensity 306944; TIC = 5095560	7.37	306944	5095560	127109
SpectrumIndex 165 at 7.38 minutes; base peak 75 m/z with intensity 2473984; TIC = 4286852	7.38	2473984	4286852	128755
SpectrumIndex 166 at 7.38 minutes; base peak 75 m/z with intensity 2486784; TIC = 4841593	7.38	2486784	4841593	129631
SpectrumIndex 167 at 7.39 minutes; base peak 75 m/z with intensity 2470912; TIC = 5086429	7.39	2470912	5086429	130713
SpectrumIndex 168 at 7.39 minutes; base peak 75 m/z with intensity 2461696; TIC = 6529945	7.39	2461696	6529945	135244
SpectrumIndex 169 at 7.40 minutes; base peak 75 m/z with intensity 305856; TIC = 2981678	7.40	305856	2981678	134441
SpectrumIndex 170 at 7.41 minutes; base peak 75 m/z with intensity 2465280; TIC = 6837031	7.41	2465280	6837031	132018
SpectrumIndex 171 at 7.41 minutes; base peak 75 m/z with intensity 305728; TIC = 3583605	7.41	305728	3583605	123583
SpectrumIndex 172 at 7.42 minutes; base peak 75 m/z with intensity 2459136; TIC = 4558022	7.42	2459136	4558022	136487
SpectrumIndex 173 at 7.43 minutes; base peak 72.1 m/z with intensity 5426; TIC = 2497794	7.43	5426	2497794	219642
SpectrumIndex 174 at 7.43 minutes; base peak 72.1 m/z with intensity 583360; TIC = 14935395	7.43	583360	14935395	642010
SpectrumIndex 175 at 7.44 minutes; base peak 72.1 m/z with intensity 12062; TIC = 19737695	7.44	12062	19737695	2246428
SpectrumIndex 176 at 7.44 minutes; base peak 72.1 m/z with intensity 861056; TIC = 37912095	7.44	861056	37912095	5226844
SpectrumIndex 177 at 7.45 minutes; base peak 72.1 m/z with intensity 894208; TIC = 43489797	7.45	894208	43489797	7574956
SpectrumIndex 178 at 7.46 minutes; base peak 72.1 m/z with intensity 7046144; TIC = 38847958	7.46	7046144	38847958	6750604
SpectrumIndex 179 at 7.46 minutes; base peak 72.1 m/z with intensity 829248; TIC = 35643016	7.46	829248	35643016	3305924
SpectrumIndex 180 at 7.47 minutes; base peak 72.1 m/z with intensity 614656; TIC = 16643543	7.47	614656	16643543	1123485
SpectrumIndex 181 at 7.48 minutes; base peak 72.1 m/z with intensity 3637760; TIC = 20628075	7.48	3637760	20628075	504963
SpectrumIndex 182 at 7.48 minutes; base peak 72.1 m/z with intensity 2869760; TIC = 9613930	7.48	2869760	9613930	333224
SpectrumIndex 183 at 7.49 minutes; base peak 75 m/z with intensity 5436; TIC = 5479005	7.49	5436	5479005	275317
SpectrumIndex 184 at 7.49 minutes; base peak 75 m/z with intensity 2879488; TIC = 11149329	7.49	2879488	11149329	265031
SpectrumIndex 185 at 7.50 minutes; base peak 75 m/z with intensity 5911; TIC = 6678288	7.50	5911	6678288	282569
SpectrumIndex 186 at 7.51 minutes; base peak 75 m/z with intensity 385984; TIC = 8310285	7.51	385984	8310285	305866
SpectrumIndex 187 at 7.51 minutes; base peak 75 m/z with intensity 3133440; TIC = 15124940	7.51	3133440	15124940	303378
SpectrumIndex 188 at 7.52 minutes; base peak 75 m/z with intensity 49688; TIC = 12176504	7.52	49688	12176504	305801
SpectrumIndex 189 at 7.53 minutes; base peak 75 m/z with intensity 51752; TIC = 10319813	7.53	51752	10319813	322821
SpectrumIndex 190 at 7.53 minutes; base peak 75 m/z with intensity 3377152; TIC = 10968665	7.53	3377152	10968665	344253
SpectrumIndex 191 at 7.54 minutes; base peak 75 m/z with intensity 420928; TIC = 8730948	7.54	420928	8730948	341741
SpectrumIndex 192 at 7.54 minutes; base peak 75 m/z with intensity 3244032; TIC = 12834845	7.54	3244032	12834845	303005
SpectrumIndex 193 at 7.55 minutes; base peak 75 m/z with intensity 3139072; TIC = 11964867	7.55	3139072	11964867	268064
SpectrumIndex 194 at 7.56 minutes; base peak 75 m/z with intensity 48112; TIC = 7474396	7.56	48112	7474396	251124
SpectrumIndex 195 at 7.56 minutes; base peak 75 m/z with intensity 5917; TIC = 6343329	7.56	5917	6343329	238793
SpectrumIndex 196 at 7.57 minutes; base peak 75 m/z with intensity 3013632; TIC = 8835884	7.57	3013632	8835884	228679
SpectrumIndex 197 at 7.58 minutes; base peak 75 m/z with intensity 370368; TIC = 4788917	7.58	370368	4788917	223988
SpectrumIndex 198 at 7.58 minutes; base peak 75 m/z with intensity 5673; TIC = 2924992	7.58	5673	2924992	219361
SpectrumIndex 199 at 7.59 minutes; base peak 75 m/z with intensity 2869760; TIC = 7431669	7.59	2869760	7431669	212552
SpectrumIndex 200 at 7.59 minutes; base peak 75 m/z with intensity 355200; TIC = 4679932	7.59	355200	4679932	220846
SpectrumIndex 201 at 7.60 minutes; base peak 75 m/z with intensity 44024; TIC = 8160533	7.60	44024	8160533	218245
SpectrumIndex 202 at 7.61 minutes; base peak 75 m/z with intensity 5421; TIC = 4109546	7.61	5421	4109546	216824
SpectrumIndex 203 at 7.61 minutes; base peak 75 m/z with intensity 2750464; TIC = 6202231	7.61	2750464	6202231	214781
SpectrumIndex 204 at 7.62 minutes; base peak 75 m/z with intensity 5426; TIC = 5480811	7.62	5426	5480811	227349
SpectrumIndex 205 at 7.63 minutes; base peak 75 m/z with intensity 2737664; TIC = 8450264	7.63	2737664	8450264	241952
SpectrumIndex 206 at 7.63 minutes; base peak 75 m/z with intensity 43528; TIC = 5798559	7.63	43528	5798559	253754
SpectrumIndex 207 at 7.64 minutes; base peak 75 m/z with intensity 43672; TIC = 4412443	7.64	43672	4412443	270572
SpectrumIndex 208 at 7.64 minutes; base peak 116.1 m/z with intensity 43896; TIC = 8121399	7.64	43896	8121399	299421
SpectrumIndex 209 at 7.65 minutes; base peak 116.1 m/z with intensity 47800; TIC = 6324155	7.65	47800	6324155	343280
SpectrumIndex 210 at 7.66 minutes; base peak 116.1 m/z with intensity 3260928; TIC = 10910450	7.66	3260928	10910450	380559
SpectrumIndex 211 at 7.66 minutes; base peak 116.1 m/z with intensity 50096; TIC = 8104285	7.66	50096	8104285	383181
SpectrumIndex 212 at 7.67 minutes; base peak 75 m/z with intensity 352832; TIC = 7120892	7.67	352832	7120892	339992
SpectrumIndex 213 at 7.68 minutes; base peak 75 m/z with intensity 5416; TIC = 11546320	7.68	5416	11546320	292538
SpectrumIndex 214 at 7.68 minutes; base peak 75 m/z with intensity 5386; TIC = 3426046	7.68	5386	3426046	250046
SpectrumIndex 215 at 7.69 minutes; base peak 75 m/z with intensity 2733056; TIC = 6440406	7.69	2733056	6440406	213360
SpectrumIndex 216 at 7.69 minutes; base peak 75 m/z with intensity 339072; TIC = 3682928	7.69	339072	3682928	186813
SpectrumIndex 217 at 7.70 minutes; base peak 75 m/z with intensity 41776; TIC = 3185221	7.70	41776	3185221	172290
SpectrumIndex 218 at 7.71 minutes; base peak 75 m/z with intensity 41696; TIC = 5330581	7.71	41696	5330581	167478
SpectrumIndex 219 at 7.71 minutes; base peak 75 m/z with intensity 41512; TIC = 3438638	7.71	41512	3438638	166619
SpectrumIndex 220 at 7.72 minutes; base peak 75 m/z with intensity 5140; TIC = 6189360	7.72	5140	6189360	159732
